,EC squamous,EC squamous.1,EC squamous.2,EC squamous.3,EC squamous.4,EC squamous.5,EC squamous.6,EC squamous.7,EC squamous.8,EC squamous.9,normal buffy coat,normal buffy coat.1,normal buffy coat.2,normal buffy coat.3,normal buffy coat.4,normal buffy coat.5,normal buffy coat.6,normal buffy coat.7,normal buffy coat.8,normal eso,normal eso.1,normal eso.2,normal eso.3,normal eso.4,normal eso.5,normal eso.6,normal eso.7,normal eso.8
chr1.2987610.F,NA,14,28,18,10,12,NA,19,53,NA,NA,16,30,51,19,30,63,47,40,25,19,21,26,29,24,28,10,10
chr1.2987611.R,10,33,21,33,17,19,14,17,49,NA,13,31,34,43,17,36,50,32,34,25,41,23,47,46,42,30,40,11
chr1.2987628.R,10,33,20,33,17,19,14,17,49,NA,13,31,34,43,17,36,50,32,34,25,41,23,47,46,42,30,40,11
chr1.2987630.R,NA,27,21,33,17,19,14,17,49,NA,13,31,34,43,17,36,50,32,34,25,41,23,47,46,42,30,40,11
chr1.2987646.R,10,33,21,33,17,19,14,17,49,NA,13,31,34,43,17,36,50,32,34,25,41,23,47,46,42,30,40,11
chr1.2987655.R,11,33,22,33,17,19,14,17,49,NA,14,31,34,43,17,37,50,32,35,25,41,24,47,46,42,30,39,11
chr1.6269142.F,27,32,28,41,14,24,12,31,28,NA,36,37,25,34,23,32,40,18,29,34,37,22,44,29,43,53,45,15
chr1.6269157.F,28,32,28,41,14,24,12,31,28,NA,36,37,25,34,23,32,40,18,29,34,37,22,44,29,43,53,45,15
chr1.6269161.F,28,32,28,41,14,24,12,31,28,NA,36,37,25,34,23,32,40,18,29,34,37,22,44,29,43,53,45,15
chr1.6269164.F,28,32,28,41,14,24,12,31,28,NA,36,37,25,34,23,32,40,18,29,34,37,22,44,29,43,53,45,15
chr1.6269170.F,28,32,23,36,14,24,12,31,28,NA,36,37,25,34,23,32,40,18,29,34,37,22,44,29,43,53,45,15
chr1.6269175.F,28,32,28,40,14,24,12,31,28,NA,36,37,25,34,23,31,40,18,29,34,37,22,44,29,42,53,45,15
chr1.6269182.F,28,32,28,41,14,24,12,31,28,NA,36,37,25,34,23,32,40,18,29,34,37,22,44,29,43,53,45,15
chr1.6269209.F,28,32,28,40,14,24,12,31,28,NA,36,37,25,34,23,32,40,18,29,34,37,20,44,27,43,53,45,15
chr1.6269234.F,28,32,28,39,14,24,11,31,27,NA,35,35,24,34,22,32,40,18,28,34,37,20,44,26,43,53,43,15
chr1.6269272.R,12,27,18,22,NA,12,NA,14,17,NA,15,20,15,15,23,10,25,NA,18,14,19,NA,28,10,23,43,16,13
chr1.6269274.R,12,28,19,29,NA,13,NA,14,20,NA,23,23,16,17,26,11,29,NA,21,16,21,NA,31,11,26,53,18,15
chr1.6269295.R,13,29,19,29,NA,13,NA,14,20,NA,23,23,16,17,26,11,30,NA,21,18,21,NA,31,11,27,54,18,15
chr1.6269303.R,13,29,19,29,NA,13,NA,14,20,NA,23,23,16,17,26,11,30,NA,21,18,21,NA,31,11,27,54,18,15
chr1.6269314.R,13,28,19,28,NA,13,NA,14,20,NA,23,23,16,17,25,11,30,NA,21,18,21,NA,31,11,27,54,18,15
chr1.6269317.R,13,29,19,29,NA,13,NA,14,20,NA,22,23,16,17,26,11,30,NA,21,18,21,NA,31,11,27,54,18,15
chr1.6269336.R,13,29,19,29,NA,13,NA,14,20,NA,23,23,16,17,26,11,30,NA,21,18,21,NA,31,11,27,54,18,15
chr1.50884349.F,38,27,51,35,21,25,22,41,47,13,35,39,27,51,55,40,62,29,43,30,41,38,31,58,43,38,38,21
chr1.50884354.F,38,27,51,35,21,25,22,41,47,13,35,39,27,51,55,39,62,29,43,30,41,38,31,58,43,38,38,21
chr1.50884357.F,38,27,51,35,21,25,22,41,47,13,35,39,27,51,55,40,62,29,43,30,41,38,31,58,43,38,38,21
chr1.50884372.F,38,27,51,35,21,25,22,41,47,13,35,39,27,51,55,40,62,29,43,30,41,38,31,58,43,38,38,21
chr1.50884381.F,38,27,50,34,21,25,22,41,47,12,35,39,27,51,55,40,62,29,43,29,41,38,31,57,43,38,38,21
chr1.50884384.F,38,27,50,34,21,25,22,41,47,12,35,39,27,51,55,40,62,29,43,29,41,38,31,57,43,38,38,21
chr1.50884387.F,37,26,50,34,21,25,22,41,47,12,35,39,27,51,55,40,62,29,43,29,41,38,31,57,43,38,38,21
chr1.50884394.F,36,27,50,34,20,25,22,39,47,12,35,39,26,51,55,40,62,29,43,29,41,38,31,57,43,36,38,21
chr1.50884409.F,30,26,46,33,20,24,21,38,45,11,35,37,25,50,55,39,61,29,43,27,41,38,31,54,43,35,37,21
chr1.50884410.R,NA,25,33,35,NA,32,15,21,30,NA,29,26,22,20,21,30,38,13,22,29,41,46,38,35,33,28,30,17
chr1.50884412.F,16,26,27,33,NA,24,15,28,42,NA,35,37,24,50,49,36,60,27,34,26,40,36,31,51,42,32,37,20
chr1.50884413.R,NA,26,33,35,NA,33,15,21,30,NA,29,26,22,20,21,31,38,13,23,29,41,47,38,35,34,28,30,18
chr1.50884420.F,10,20,16,29,NA,20,11,13,34,NA,33,29,20,40,45,30,58,26,32,20,38,30,27,42,42,22,36,18
chr1.50884421.R,10,28,35,35,NA,35,15,23,30,NA,29,27,22,22,23,31,39,14,23,29,41,47,38,38,36,29,30,19
chr1.50884423.F,10,20,15,29,NA,20,10,13,34,NA,31,29,20,40,45,30,58,26,32,19,37,30,25,41,41,21,35,18
chr1.50884424.R,10,28,35,35,NA,36,15,23,30,NA,29,27,22,22,23,31,39,14,23,29,41,47,38,38,36,29,30,19
chr1.50884427.F,NA,20,14,27,NA,18,NA,NA,34,NA,28,28,20,40,44,30,56,23,32,16,37,28,25,34,40,17,33,14
chr1.50884428.R,11,30,39,35,NA,37,15,27,32,NA,29,29,22,22,23,31,39,14,23,29,41,47,38,41,36,29,30,20
chr1.50884431.F,NA,20,12,25,NA,18,NA,NA,34,NA,28,28,20,40,44,29,56,23,31,16,37,26,25,34,40,13,32,13
chr1.50884432.R,11,30,40,35,NA,37,15,27,32,NA,29,29,22,22,23,31,40,14,24,29,41,47,38,41,36,30,30,20
chr1.50884437.F,NA,20,12,25,NA,18,NA,NA,34,NA,28,28,20,38,44,28,56,23,31,16,37,26,25,34,40,13,31,12
chr1.50884438.R,11,30,41,35,NA,37,15,30,32,NA,29,29,22,22,23,31,40,14,24,29,41,47,38,41,36,30,30,20
chr1.50884448.R,12,30,43,35,10,37,16,31,32,NA,29,30,22,22,22,30,40,15,24,30,41,47,38,40,37,30,30,21
chr1.50884457.R,12,30,43,35,10,37,16,31,32,NA,30,30,22,22,23,31,40,15,24,30,41,47,38,41,37,30,30,21
chr1.50884474.R,NA,29,43,35,10,37,16,31,32,NA,30,30,22,22,23,31,40,15,24,30,41,47,38,41,37,30,30,21
chr1.50884481.R,12,30,42,35,10,37,16,31,32,NA,30,30,22,22,23,31,40,15,24,30,41,47,38,41,37,30,30,21
chr1.50884485.R,12,30,43,35,10,37,16,31,32,NA,30,30,22,22,23,31,40,15,24,30,41,47,38,41,37,30,30,21
chr1.50884499.R,12,30,43,35,10,37,16,31,32,NA,30,30,22,22,23,31,40,15,24,30,41,47,38,41,37,30,30,21
chr1.50885132.F,22,28,17,14,14,15,10,17,33,NA,26,26,28,13,16,28,23,12,27,22,14,19,19,26,26,45,26,12
chr1.50885146.F,22,28,17,14,14,15,10,17,33,NA,26,26,28,13,16,28,23,12,27,22,14,19,19,26,26,45,26,12
chr1.50885149.F,22,28,17,14,14,15,10,17,33,NA,26,26,28,13,16,28,23,12,27,22,14,19,19,26,26,45,26,12
chr1.50885152.F,22,28,17,14,14,15,10,17,33,NA,26,26,28,13,16,28,23,12,27,22,14,19,19,26,26,45,26,12
chr1.50885155.F,22,28,17,14,14,15,10,17,33,NA,26,26,28,13,16,28,23,12,27,22,14,19,19,26,26,45,26,12
chr1.50885167.F,22,28,17,14,14,15,10,17,33,NA,26,26,27,13,16,27,23,12,27,22,14,19,19,26,26,45,26,12
chr1.50885168.R,NA,22,17,25,12,10,NA,22,23,NA,NA,31,19,20,17,24,34,18,27,16,20,17,36,14,16,39,20,NA
chr1.50885205.F,21,28,17,14,13,14,NA,17,30,NA,26,26,27,NA,16,27,23,12,26,22,13,18,19,26,26,45,26,12
chr1.50885206.R,NA,28,23,28,21,14,NA,25,25,NA,11,35,20,24,18,26,38,19,34,16,23,17,40,21,26,42,26,13
chr1.50885216.F,19,27,17,14,13,14,NA,17,30,NA,25,26,27,NA,16,27,23,10,26,22,13,18,19,26,26,45,26,12
chr1.50885217.R,NA,29,23,29,20,14,NA,25,25,NA,11,35,20,24,18,27,38,19,34,17,24,17,40,21,26,42,26,13
chr1.50885234.R,NA,29,23,29,21,14,NA,25,26,NA,11,35,20,24,18,27,38,20,34,17,24,17,39,21,26,42,26,13
chr1.50885240.R,NA,29,23,29,21,14,NA,25,26,NA,11,35,20,24,18,27,37,20,34,17,24,17,40,21,26,41,26,13
chr1.50885243.R,NA,29,23,29,21,14,NA,25,26,NA,11,35,20,24,18,27,38,20,34,17,24,17,40,21,26,42,26,13
chr1.50885250.R,NA,29,23,29,21,14,NA,25,26,NA,11,35,20,24,18,27,38,20,34,17,24,17,40,21,26,42,26,13
chr1.50885261.R,NA,29,23,29,21,14,NA,25,26,NA,11,35,20,24,18,27,38,20,34,17,24,17,40,21,26,42,26,13
chr1.119527066.R,18,22,38,17,14,NA,15,22,14,11,10,15,10,24,12,21,34,18,31,21,23,28,30,35,24,22,15,NA
chr1.119527162.F,40,66,71,60,34,43,38,57,102,34,59,69,78,62,49,83,114,59,101,67,71,78,69,97,70,82,75,32
chr1.119527180.F,34,52,53,44,29,34,35,46,76,20,47,60,69,53,44,72,84,51,72,56,52,60,54,75,53,69,61,21
chr1.119527191.F,34,52,53,44,29,34,35,46,76,20,47,60,69,53,44,72,84,51,72,56,52,60,54,75,53,69,61,21
chr1.119527221.F,30,44,49,39,21,32,32,39,65,16,42,51,64,49,42,61,73,47,70,52,49,56,50,71,51,66,59,20
chr1.119527222.R,35,44,46,51,24,32,28,46,64,NA,41,65,75,47,46,59,35,39,42,47,45,53,42,57,59,54,55,26
chr1.119527237.F,28,44,50,40,20,30,31,39,61,17,42,49,62,49,42,61,72,45,71,52,49,56,49,71,50,66,58,20
chr1.119527238.R,35,44,46,51,24,32,28,46,64,NA,41,65,75,47,46,59,36,40,42,47,45,53,42,57,59,54,55,26
chr1.119527254.F,28,43,47,40,20,29,30,39,60,17,42,47,62,48,42,61,70,42,71,52,48,54,49,71,49,64,58,20
chr1.119527255.R,36,44,46,51,24,32,28,46,64,NA,41,65,75,47,46,59,36,40,42,47,44,53,42,57,59,54,55,26
chr1.119527308.F,14,22,20,24,NA,NA,12,30,24,NA,13,26,21,27,22,26,23,22,32,36,25,28,22,38,28,30,22,26
chr1.119527309.R,36,44,46,51,24,32,28,46,64,NA,41,65,75,47,46,59,36,40,42,47,45,53,42,57,59,54,55,26
chr1.119527311.F,14,22,20,24,NA,NA,12,30,24,NA,13,26,21,27,22,26,23,22,32,36,25,28,22,38,28,30,22,26
chr1.119527360.F,14,22,20,24,NA,NA,11,30,23,NA,11,26,21,27,22,26,22,22,32,36,24,27,22,38,28,30,22,26
chr1.119527377.F,13,22,20,24,NA,NA,11,30,23,NA,12,26,20,27,22,26,23,22,32,35,24,27,22,38,28,30,22,26
chr1.119527378.R,NA,36,23,32,11,26,16,NA,16,NA,15,28,12,25,27,21,37,18,25,22,31,22,39,37,35,30,23,NA
chr1.119527392.F,13,22,20,24,NA,NA,11,29,22,NA,12,26,20,27,22,26,22,22,31,35,23,26,21,37,28,29,21,26
chr1.119527393.R,NA,36,23,32,11,26,16,NA,16,NA,16,28,12,25,27,21,38,18,25,22,31,22,39,37,35,30,24,NA
chr1.119527410.R,NA,36,23,32,11,26,16,NA,15,NA,16,28,12,25,28,21,38,18,25,22,31,22,39,37,34,30,24,NA
chr1.119527416.R,NA,36,23,32,11,25,16,NA,16,NA,16,28,12,25,28,21,38,18,25,22,31,22,39,37,35,30,24,NA
chr1.119527455.R,NA,36,23,32,11,26,16,NA,16,NA,16,28,12,25,28,21,38,18,25,22,31,22,39,37,35,30,24,NA
chr1.119527457.R,NA,36,23,32,11,26,16,NA,16,NA,15,28,12,25,28,21,38,18,25,22,31,22,39,37,35,30,24,NA
chr1.119527463.F,51,50,58,58,40,41,38,42,53,NA,63,51,40,64,71,58,44,58,50,52,69,63,60,91,55,85,56,26
chr1.119527464.R,NA,36,23,32,11,26,16,NA,16,NA,16,28,12,25,28,21,38,18,25,22,31,22,39,37,35,30,24,NA
chr1.119527476.F,51,50,58,58,40,41,38,42,53,NA,63,51,40,64,71,58,44,58,50,52,69,63,60,91,55,85,56,26
chr1.119527504.F,50,50,58,58,40,41,38,42,52,NA,63,51,40,64,71,58,44,58,50,51,69,63,59,91,55,85,56,26
chr1.119527512.F,50,50,58,58,40,41,38,42,52,NA,63,51,40,64,71,58,44,58,50,51,69,63,59,91,55,85,56,26
chr1.119527516.F,50,50,58,58,40,41,38,42,51,NA,63,51,40,64,71,58,44,58,49,51,68,63,59,91,55,85,56,26
chr1.119527543.F,45,49,56,58,39,40,36,41,50,NA,62,50,39,64,69,57,44,57,49,51,67,63,59,87,53,84,56,25
chr1.119527545.F,43,49,56,58,38,40,35,41,50,NA,62,50,38,64,69,57,44,56,48,51,67,63,58,86,53,83,56,24
chr1.119527583.R,33,59,53,56,37,44,36,33,61,NA,60,53,50,33,66,51,44,52,71,39,63,56,54,70,49,75,60,32
chr1.119527637.R,33,59,53,54,37,44,36,33,61,NA,60,52,50,33,66,51,44,52,71,39,63,56,54,70,49,75,60,32
chr1.119527639.R,33,59,53,56,37,44,36,33,61,NA,60,53,50,33,66,51,44,52,71,39,63,56,54,70,49,75,60,32
chr1.119527654.F,29,55,67,57,34,30,31,46,72,11,73,50,67,87,52,63,44,71,95,36,51,39,53,84,42,66,52,12
chr1.119527655.R,33,59,53,56,37,44,36,33,61,NA,60,53,50,33,66,51,44,52,71,39,63,56,54,70,49,75,60,32
chr1.119550836.F,20,41,27,35,21,26,10,34,48,11,20,52,38,34,31,42,62,36,30,21,35,39,46,47,36,46,34,19
chr1.119550854.F,20,41,27,34,21,26,10,34,48,11,20,52,38,33,31,42,61,36,29,21,35,39,46,47,36,46,34,19
chr1.119550855.R,19,27,34,19,19,10,13,28,36,NA,NA,27,40,28,17,42,37,20,34,27,22,32,35,55,29,43,26,NA
chr1.119550890.F,19,42,27,35,21,26,10,34,48,11,20,52,38,34,31,42,62,36,30,21,35,38,46,47,36,46,34,19
chr1.119550891.R,20,28,35,20,19,11,15,29,36,NA,NA,27,41,29,18,43,39,25,35,27,22,33,35,57,29,43,27,NA
chr1.119550917.F,17,41,27,34,20,25,10,34,48,11,18,52,38,34,31,41,62,35,30,21,34,37,46,47,36,45,34,19
chr1.119550918.R,21,28,35,19,19,12,16,29,37,NA,NA,28,41,30,18,43,39,25,35,27,23,33,36,57,29,44,27,NA
chr1.119550920.F,18,41,27,34,20,25,10,34,48,11,18,52,38,34,31,42,62,35,30,21,34,37,46,46,36,45,34,19
chr1.119550921.R,21,28,35,20,19,12,16,29,37,NA,NA,28,41,30,18,43,39,25,35,27,23,33,36,57,29,44,27,NA
chr1.119550929.F,18,41,27,34,20,25,10,34,47,11,18,52,38,34,31,42,60,35,30,21,34,37,46,45,36,45,34,19
chr1.119550930.R,21,28,35,20,19,12,16,29,37,NA,NA,28,41,30,18,43,39,25,35,27,23,33,36,57,29,44,27,NA
chr1.119550938.R,21,28,35,20,19,12,16,29,37,NA,NA,28,41,30,18,43,39,25,35,27,23,33,36,57,29,44,27,NA
chr1.119550941.F,41,59,60,54,25,29,24,45,66,12,40,76,56,73,61,48,109,53,95,43,52,51,60,74,65,65,40,NA
chr1.119550942.R,21,28,35,20,19,12,16,29,37,NA,NA,28,41,30,18,43,39,25,35,27,23,33,36,57,29,44,27,NA
chr1.119550948.F,41,59,60,54,25,29,24,45,66,12,40,76,56,73,61,48,109,53,95,43,52,51,60,74,65,65,40,NA
chr1.119550974.F,41,58,60,53,25,29,23,45,65,12,40,76,56,73,61,47,109,53,95,43,52,51,60,74,64,65,40,NA
chr1.119550975.R,30,41,44,59,35,38,28,44,55,13,26,57,57,39,34,58,61,54,68,49,52,57,57,56,47,61,51,12
chr1.119550983.F,41,58,60,54,25,29,24,45,66,12,40,76,56,73,61,48,109,53,95,43,52,51,60,74,65,65,40,NA
chr1.119550984.R,30,41,44,59,35,37,28,44,55,12,27,57,57,38,34,58,61,66,67,50,53,57,58,56,47,62,52,12
chr1.119551012.F,34,55,52,50,18,28,24,44,63,11,37,65,54,67,56,48,99,52,90,41,49,45,56,65,60,56,39,NA
chr1.119551013.R,34,44,48,64,39,40,33,45,58,13,29,60,60,40,35,63,63,77,68,53,56,59,60,58,48,65,55,14
chr1.119551014.F,32,54,50,49,17,28,24,40,56,11,35,63,54,65,54,46,95,50,88,40,45,44,55,60,58,56,39,NA
chr1.119551015.R,34,43,48,64,39,40,33,45,60,13,29,60,60,40,35,63,63,78,68,53,56,59,60,58,48,65,55,14
chr1.119551026.F,28,47,46,49,17,27,21,38,52,NA,32,56,52,63,52,44,90,47,83,36,41,40,50,56,56,55,36,NA
chr1.119551027.R,34,44,48,64,39,40,33,45,60,13,29,61,61,40,35,63,63,78,68,53,56,59,60,58,48,65,55,14
chr1.119551062.R,34,44,48,64,39,40,33,45,60,13,29,61,61,40,35,63,65,78,69,53,55,58,60,58,48,65,55,14
chr1.146551836.F,36,36,62,45,31,19,33,47,33,20,28,41,36,30,33,35,43,44,68,37,40,29,50,51,42,36,31,17
chr1.146551840.F,36,36,62,45,31,19,33,47,33,20,28,41,36,30,33,35,43,44,68,37,40,29,50,51,42,36,31,17
chr1.146551904.F,33,34,58,45,30,19,32,47,30,20,26,35,35,28,32,35,42,43,68,37,38,27,49,50,40,33,29,17
chr1.146551905.R,12,36,16,34,10,14,19,25,25,13,27,33,12,27,20,25,28,30,18,28,40,20,47,40,32,28,27,21
chr1.146551927.F,31,35,58,45,29,19,31,47,30,19,26,37,35,28,31,35,42,42,68,37,37,27,48,50,41,33,28,15
chr1.146551928.R,12,36,16,35,10,15,19,26,25,13,28,34,12,27,20,25,28,30,18,28,41,20,47,41,32,28,28,22
chr1.146551949.R,12,36,16,35,10,15,19,26,25,13,29,35,13,27,20,25,28,30,18,28,41,20,47,41,32,28,28,22
chr1.146551951.R,12,36,16,35,10,15,19,26,25,13,29,34,13,27,20,25,28,30,18,28,41,20,47,41,32,28,28,22
chr1.146551953.R,11,35,16,35,10,15,17,26,25,12,29,35,13,27,20,25,28,30,18,28,40,20,47,39,30,28,28,22
chr1.146551968.R,12,36,16,35,10,15,19,26,25,13,29,36,13,28,20,25,28,31,19,28,41,20,47,41,33,29,28,22
chr1.146551970.R,12,36,16,35,10,15,19,26,25,13,29,36,13,28,20,26,28,31,19,28,41,20,47,41,33,29,28,22
chr1.146552001.R,12,36,16,35,10,15,19,26,25,13,29,36,13,28,20,26,28,31,19,28,41,20,47,41,33,29,28,22
chr2.10471124.F,17,16,24,28,11,12,12,25,39,13,41,13,33,33,22,23,47,51,36,29,17,18,30,25,23,20,18,16
chr2.10471173.F,17,16,24,28,11,12,12,25,39,13,41,13,33,33,22,23,47,51,36,29,17,18,30,25,23,20,18,16
chr2.10471180.F,17,16,24,28,11,12,12,25,39,13,41,13,33,33,22,23,47,51,36,29,17,18,30,25,23,20,18,16
chr2.10471190.F,17,16,24,28,11,12,12,25,39,13,41,13,33,33,22,23,46,51,36,28,17,18,30,24,23,20,17,16
chr2.10471212.F,12,15,21,13,NA,NA,NA,17,26,NA,19,16,30,22,NA,11,35,30,21,21,15,13,16,23,32,15,19,14
chr2.10471251.R,15,22,21,23,NA,12,NA,30,20,NA,NA,14,26,30,26,15,41,19,20,29,20,21,27,32,38,22,19,15
chr2.10471270.R,16,31,39,33,NA,16,NA,39,26,NA,11,21,29,34,31,19,52,22,30,32,22,26,28,38,42,24,22,15
chr2.10471297.R,16,38,43,37,11,16,11,41,27,NA,13,24,36,35,31,23,53,22,32,32,23,26,31,38,42,24,22,16
chr2.10471302.R,16,38,43,37,11,16,11,41,27,NA,13,24,36,35,31,23,53,22,32,32,23,26,31,38,42,24,22,16
chr2.10471349.F,NA,19,16,32,NA,18,10,17,29,13,16,12,26,25,19,21,37,38,26,34,22,12,36,20,26,13,14,28
chr2.10471350.R,16,38,43,37,11,16,11,41,27,NA,13,24,36,35,31,23,53,22,32,32,23,26,31,39,42,24,22,16
chr2.10471388.F,NA,19,16,32,NA,18,10,17,29,13,16,12,26,25,19,21,37,38,26,34,22,12,36,20,26,13,14,28
chr2.10471392.F,NA,19,16,32,NA,18,10,17,29,13,16,12,26,25,19,21,37,38,26,34,22,12,36,20,26,13,14,28
chr2.10471420.F,NA,19,16,32,NA,18,10,17,29,13,16,12,26,25,19,21,37,38,26,34,22,12,36,20,26,13,14,28
chr2.10471421.R,15,28,24,32,11,22,NA,40,65,15,23,29,58,54,34,24,59,52,26,33,39,17,39,25,46,29,42,45
chr2.10471436.F,NA,19,16,32,NA,18,10,17,29,12,16,12,26,25,19,21,37,33,25,34,22,12,36,20,26,13,14,28
chr2.10471437.R,15,30,24,35,11,22,10,40,67,16,26,29,58,56,35,25,59,53,26,33,39,18,39,28,47,29,44,46
chr2.10471440.F,NA,19,16,32,NA,18,10,17,29,12,16,12,26,25,19,21,37,38,25,34,22,12,36,20,26,13,14,28
chr2.10471441.R,15,30,23,32,11,22,10,40,67,16,26,29,57,56,35,25,58,53,26,33,38,18,39,27,47,29,44,46
chr2.10471461.R,16,30,24,37,11,24,11,40,68,16,26,28,58,57,36,25,59,54,26,36,40,19,39,27,48,30,43,48
chr2.10471470.R,17,30,24,37,12,24,11,40,69,16,26,30,60,57,36,26,59,55,26,36,40,19,39,28,48,31,44,49
chr2.10471475.R,17,30,24,37,12,24,11,42,69,16,27,31,60,58,36,26,58,55,26,36,40,19,39,28,48,31,45,49
chr2.10471492.R,18,30,24,37,12,25,11,42,70,16,28,31,61,58,36,27,59,56,28,36,40,19,39,29,48,31,47,49
chr2.10471509.F,38,69,72,70,33,44,37,60,124,16,59,54,75,85,49,43,114,104,120,63,76,40,60,70,70,58,65,43
chr2.10471510.R,18,30,24,37,12,25,11,42,70,16,28,31,62,58,36,27,59,56,28,36,40,19,39,29,48,31,47,49
chr2.10471518.F,38,69,72,70,33,44,37,60,124,16,59,54,75,85,49,43,114,104,120,63,76,40,60,70,70,58,65,43
chr2.10471534.F,33,52,72,70,33,44,37,60,124,16,59,54,75,85,49,43,114,104,120,63,76,40,60,70,70,58,65,43
chr2.10471577.F,37,67,70,65,30,43,36,56,122,16,58,49,73,85,46,42,108,97,116,60,66,35,57,64,66,56,61,37
chr2.10471578.R,25,65,51,63,27,44,22,51,139,NA,32,95,78,72,49,71,95,80,85,70,46,48,57,79,70,57,54,24
chr2.71134586.F,15,31,25,35,NA,18,15,24,34,NA,31,26,33,41,20,23,43,54,47,29,31,25,46,24,40,12,30,20
chr2.71134595.F,15,31,25,35,NA,18,15,24,34,NA,31,26,32,41,20,23,43,52,47,28,31,25,47,24,40,12,30,20
chr2.71134608.F,15,31,25,35,NA,18,15,24,34,NA,31,26,32,41,20,23,43,52,47,28,31,25,47,24,40,12,30,20
chr2.71134628.F,15,31,25,35,NA,18,15,24,34,NA,31,26,32,41,20,23,43,52,47,28,31,25,47,24,40,12,30,20
chr2.71134630.F,15,31,25,34,NA,18,15,24,34,NA,31,26,32,41,20,23,43,52,47,28,31,25,47,24,40,12,30,20
