,EC squamous,EC squamous.1,EC squamous.2,EC squamous.3,EC squamous.4,EC squamous.5,EC squamous.6,EC squamous.7,EC squamous.8,EC squamous.9,normal buffy coat,normal buffy coat.1,normal buffy coat.2,normal buffy coat.3,normal buffy coat.4,normal buffy coat.5,normal buffy coat.6,normal buffy coat.7,normal buffy coat.8,normal eso,normal eso.1,normal eso.2,normal eso.3,normal eso.4,normal eso.5,normal eso.6,normal eso.7,normal eso.8
chr1.50885149.F,14,6,9,2,8,1,4,10,8,NA,4,5,4,0,5,6,1,3,13,10,2,7,1,13,4,8,8,9
chr1.50885152.F,15,7,9,1,8,2,4,11,3,NA,2,7,1,0,5,5,0,1,11,9,4,7,2,13,1,9,9,9
chr1.50885155.F,15,4,9,2,9,0,4,10,3,NA,2,3,3,0,3,5,2,3,13,11,1,8,0,12,5,9,5,5
chr1.50885167.F,15,4,10,0,9,1,4,11,0,NA,0,3,0,0,2,4,0,2,8,10,0,7,0,11,0,10,3,5
chr1.50885168.R,NA,1,8,0,2,1,NA,13,1,NA,NA,2,0,0,0,2,0,3,2,5,1,3,4,3,0,8,0,NA
chr1.50885205.F,12,0,9,0,8,0,NA,6,0,NA,0,1,0,NA,1,0,0,2,10,9,0,5,0,10,0,9,0,5
chr1.50885206.R,NA,1,10,0,9,0,NA,17,0,NA,0,1,0,0,1,0,0,3,6,4,0,2,0,3,0,3,0,2
chr1.50885216.F,13,2,9,0,9,0,NA,9,0,NA,0,1,2,NA,0,1,0,1,13,9,0,4,0,10,1,10,2,5
chr1.50885217.R,NA,1,11,0,9,0,NA,16,1,NA,0,2,0,2,1,2,0,5,7,5,0,2,0,5,0,7,0,5
chr1.50885234.R,NA,1,11,1,9,0,NA,16,0,NA,0,0,0,0,1,0,0,3,7,3,1,3,0,4,0,6,0,3
chr1.50885240.R,NA,1,11,0,8,0,NA,15,0,NA,0,1,0,0,0,0,0,3,5,5,1,3,0,4,0,1,0,3
chr1.50885243.R,NA,2,9,0,8,0,NA,14,1,NA,0,2,0,0,0,0,0,3,7,5,1,4,2,3,0,3,0,3
chr1.50885250.R,NA,0,11,1,8,2,NA,17,0,NA,0,1,0,0,0,0,0,3,6,4,2,2,0,5,0,5,0,3
chr1.50885261.R,NA,0,11,1,8,0,NA,16,0,NA,0,1,0,0,0,0,0,3,7,4,1,3,1,4,1,2,0,2
chr1.119527066.R,0,0,4,0,0,NA,0,2,0,0,0,0,0,0,0,0,7,0,1,0,0,1,0,1,0,4,0,NA
chr1.119527162.F,14,2,18,1,19,2,8,7,4,0,2,3,0,2,7,5,5,7,5,12,1,35,0,27,6,46,2,6
chr1.119527180.F,12,1,17,0,19,0,7,3,1,0,1,4,0,1,1,2,2,0,7,13,1,28,1,27,0,45,1,6
chr1.119527191.F,11,1,18,0,18,2,10,7,5,0,0,4,5,3,1,3,0,0,2,9,1,29,0,25,1,21,1,6
chr1.119527221.F,12,1,21,2,12,0,5,6,9,0,1,3,2,2,3,5,4,1,4,11,1,29,2,32,5,31,4,6
chr1.119527222.R,14,4,14,0,10,2,5,2,3,NA,0,3,7,5,2,3,0,5,12,9,1,24,4,14,3,27,3,1
chr1.119527237.F,7,1,11,0,9,0,3,6,1,0,0,0,3,0,0,1,0,0,3,4,0,21,0,10,0,6,0,2
chr1.119527238.R,13,2,7,0,8,0,2,2,0,NA,0,1,2,0,0,1,0,0,3,2,1,16,0,5,0,6,0,0
chr1.119527254.F,6,0,14,0,11,1,3,6,0,0,0,1,0,0,0,0,1,0,1,2,0,20,0,13,2,9,0,2
chr1.119527255.R,15,0,10,0,7,0,2,4,2,NA,0,5,3,0,1,1,1,0,5,2,2,17,0,5,1,10,2,0
chr1.119527308.F,5,0,2,0,NA,NA,3,7,0,NA,1,1,2,2,1,2,0,1,2,3,0,10,0,4,1,10,0,5
chr1.119527309.R,16,0,10,0,12,0,3,3,1,NA,2,2,9,3,3,1,1,0,3,4,0,14,0,11,1,32,2,1
chr1.119527311.F,6,1,3,0,NA,NA,3,6,0,NA,1,2,2,0,1,2,0,2,10,3,0,10,2,7,2,6,1,5
chr1.119527360.F,5,0,1,1,NA,NA,2,0,0,NA,0,0,0,1,0,0,3,0,0,2,0,11,0,4,0,12,0,5
chr1.119527377.F,4,0,1,0,NA,NA,2,1,0,NA,1,0,0,1,1,1,0,0,7,3,0,12,0,4,0,16,0,4
chr1.119527378.R,NA,1,6,0,6,0,0,NA,0,NA,0,0,0,0,2,0,0,0,2,2,1,6,0,3,1,18,1,NA
chr1.119527392.F,4,2,1,0,NA,NA,3,3,0,NA,1,0,0,0,0,0,0,1,5,2,0,12,0,6,0,8,0,5
chr1.119527393.R,NA,0,3,1,7,0,0,NA,0,NA,0,1,0,0,0,2,1,0,1,2,0,8,0,2,0,8,0,NA
chr1.119527410.R,NA,0,5,0,6,0,2,NA,0,NA,0,1,4,0,1,1,3,0,2,1,0,7,0,3,0,17,2,NA
chr1.119527416.R,NA,0,6,1,8,0,3,NA,0,NA,0,2,4,0,0,1,8,0,4,5,0,8,1,9,0,18,3,NA
chr1.119527455.R,NA,0,4,0,5,0,1,NA,1,NA,0,1,3,0,1,0,4,0,1,3,0,10,1,3,0,21,3,NA
chr1.119527457.R,NA,1,5,2,5,0,0,NA,4,NA,1,5,4,4,0,2,2,0,2,3,0,8,0,9,0,23,3,NA
chr1.119527463.F,34,1,25,2,25,0,12,11,2,NA,6,4,0,3,3,3,5,2,7,5,0,24,4,36,2,43,1,5
chr1.119527464.R,NA,0,6,2,4,0,1,NA,1,NA,0,4,1,4,1,1,3,2,4,3,0,9,1,6,0,17,4,NA
chr1.119527476.F,27,3,20,0,26,1,12,6,10,NA,2,4,2,1,6,4,5,4,5,3,0,14,1,31,3,23,3,4
chr1.119527504.F,23,0,23,4,26,1,12,5,2,NA,3,3,0,1,3,3,2,4,8,1,0,20,2,27,1,42,3,5
chr1.119527512.F,28,0,23,3,25,3,13,9,8,NA,2,5,0,4,9,5,2,1,11,1,0,23,2,28,5,40,4,8
chr1.119527516.F,31,1,27,2,29,1,15,15,2,NA,8,7,3,0,3,4,1,6,10,3,1,25,1,30,0,42,3,8
chr1.119527543.F,25,2,24,1,24,2,13,5,8,NA,3,3,4,0,8,6,1,4,4,2,0,20,2,22,1,59,2,13
chr1.119527545.F,28,1,22,4,24,2,12,6,6,NA,3,3,1,0,9,5,1,4,14,2,1,19,1,23,3,63,4,7
chr1.119527583.R,21,2,14,0,17,0,7,15,3,NA,0,3,2,1,3,3,1,4,13,8,1,31,0,10,0,5,1,4
chr1.119527637.R,20,11,22,4,23,5,13,14,4,NA,8,10,13,2,13,6,4,17,38,9,6,35,6,31,3,57,4,11
chr1.119527639.R,18,5,24,12,21,6,14,18,14,NA,8,7,12,2,16,5,7,16,25,18,9,37,7,39,3,56,7,11
chr1.119527654.F,20,13,36,4,19,5,14,20,7,2,10,7,5,20,13,12,2,25,28,6,6,20,7,38,4,50,2,2
chr1.119527655.R,23,5,23,6,19,4,14,19,12,NA,3,10,12,8,10,6,15,11,20,10,7,32,4,27,2,56,11,11
chr1.119550836.F,3,2,15,0,6,0,1,1,1,2,0,5,1,2,4,2,1,6,1,0,2,2,0,18,1,37,2,0
chr1.119550854.F,14,9,14,1,8,4,3,10,5,6,3,16,1,2,5,8,10,20,8,6,3,9,6,23,7,42,1,6
chr1.119550855.R,11,10,19,5,6,4,1,13,4,NA,NA,11,4,5,6,13,11,5,11,11,2,18,2,37,4,38,2,NA
chr1.119550890.F,8,3,12,0,7,2,2,6,7,8,4,9,1,2,3,1,5,11,13,4,3,14,0,18,0,39,0,0
chr1.119550891.R,6,1,12,2,6,0,1,7,2,NA,NA,3,0,6,2,8,5,4,11,6,0,12,1,29,0,36,2,NA
chr1.119550917.F,8,0,14,1,6,0,1,13,2,1,1,6,1,1,3,0,6,6,14,3,0,13,0,23,1,38,0,2
chr1.119550918.R,8,1,19,1,6,0,1,8,2,NA,NA,3,0,3,3,2,4,2,17,5,2,18,4,29,0,37,1,NA
chr1.119550920.F,4,5,13,2,6,0,1,9,3,7,3,7,1,4,3,2,8,8,10,7,1,11,3,18,1,40,2,1
chr1.119550921.R,7,1,17,1,5,0,2,7,1,NA,NA,4,4,3,4,4,2,0,14,3,1,16,2,22,0,39,0,NA
chr1.119550929.F,6,2,14,1,5,0,0,8,5,9,1,9,1,0,3,4,10,9,10,3,2,8,2,18,1,38,1,0
chr1.119550930.R,8,1,15,0,5,0,3,6,5,NA,NA,5,4,8,5,6,4,0,10,1,0,15,1,24,0,37,1,NA
chr1.119550938.R,5,0,13,0,5,0,1,4,1,NA,NA,1,5,3,5,3,2,0,3,3,0,13,2,17,0,37,0,NA
chr1.119550941.F,13,3,17,1,7,0,0,13,4,0,1,3,1,9,7,4,8,1,7,4,1,8,1,22,3,53,0,NA
chr1.119550942.R,7,2,13,0,5,0,1,4,1,NA,NA,1,5,4,5,5,4,0,4,3,0,11,3,17,0,36,0,NA
chr1.119550948.F,11,2,16,0,7,0,0,9,0,3,0,4,0,2,8,5,6,0,7,4,1,8,1,20,1,50,0,NA
chr1.119550974.F,11,3,19,1,7,0,0,1,2,0,0,4,0,2,7,5,8,1,9,4,2,9,2,27,1,50,2,NA
chr1.119550975.R,11,1,22,2,6,3,1,0,3,0,1,3,1,3,5,4,3,4,1,5,1,7,0,26,0,46,0,2
chr1.119550983.F,12,0,15,1,7,0,0,0,0,0,0,1,0,0,2,4,0,1,0,0,1,4,1,17,0,38,1,NA
chr1.119550984.R,10,0,19,0,6,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,6,0,14,0,38,0,0
chr1.119551012.F,9,2,13,0,5,0,0,3,7,0,1,5,0,2,4,5,1,4,3,1,0,3,1,17,4,37,1,NA
chr1.119551013.R,11,2,20,1,7,0,2,2,1,0,0,5,6,0,4,2,2,4,1,2,1,8,1,22,3,43,0,0
chr1.119551014.F,7,1,11,0,4,1,0,1,0,0,0,2,0,2,3,5,0,6,3,0,0,3,0,13,0,38,0,NA
chr1.119551015.R,10,1,21,1,7,0,0,0,0,0,1,0,1,2,3,2,0,1,1,1,1,8,0,18,0,42,1,0
chr1.119551026.F,6,3,14,4,4,0,0,2,0,NA,0,1,0,0,1,5,5,3,7,3,0,4,2,12,2,38,2,NA
chr1.119551027.R,11,2,19,0,8,0,1,0,1,0,0,1,0,2,2,3,1,3,9,2,1,10,3,18,2,46,4,0
chr1.119551062.R,6,1,21,3,6,0,3,4,2,0,2,2,2,3,2,3,7,8,1,3,1,6,0,24,0,43,0,2
chr1.146551836.F,12,2,26,0,18,0,5,4,2,3,3,4,5,0,1,1,0,0,5,0,0,6,1,15,1,13,1,1
chr1.146551840.F,9,1,21,0,16,0,3,3,2,0,0,1,5,0,1,1,2,0,0,0,0,3,0,4,1,8,0,1
chr1.146551904.F,13,0,32,3,19,1,5,14,2,0,0,2,5,3,2,2,2,2,3,1,0,3,1,14,2,13,0,3
chr1.146551905.R,2,0,7,2,2,0,2,5,1,0,0,5,0,7,0,0,0,2,0,5,0,3,1,9,1,10,0,8
chr1.146551927.F,14,3,32,1,18,0,4,16,7,0,0,2,0,4,0,1,3,5,5,2,0,6,2,14,1,13,0,3
chr1.146551928.R,3,2,7,0,2,0,2,8,2,0,0,5,2,5,0,2,1,3,1,6,0,3,4,13,1,11,2,11
chr1.146551949.R,4,3,7,1,2,0,2,5,3,0,0,6,0,1,0,0,1,2,0,5,0,4,0,13,0,16,0,11
chr1.146551951.R,3,4,7,0,3,0,2,6,3,0,0,4,2,1,1,0,2,2,1,7,2,4,2,11,1,17,1,13
chr1.146551953.R,4,2,5,1,2,0,2,8,4,0,0,3,2,3,1,0,3,7,1,8,1,4,2,12,1,17,1,11
chr1.146551968.R,1,0,2,0,0,1,0,6,4,0,0,2,0,0,1,0,1,1,0,5,0,2,0,8,0,10,0,11
chr1.146551970.R,3,0,4,0,1,0,2,6,3,0,0,3,1,4,2,0,1,2,1,5,0,2,0,9,0,10,1,11
chr1.146552001.R,0,0,1,0,1,0,2,7,1,0,0,3,2,1,0,0,0,1,0,0,0,3,0,6,0,7,0,6
chr2.10471124.F,1,0,15,0,10,0,3,11,3,2,14,2,4,0,3,2,0,5,6,5,2,9,0,13,0,15,0,9
chr2.10471173.F,2,0,13,0,8,0,2,11,5,3,16,2,0,0,3,2,1,1,9,6,0,7,1,14,0,17,0,10
chr2.10471180.F,2,0,12,2,10,0,3,8,3,3,12,0,0,0,4,3,1,0,6,5,0,5,1,15,0,16,0,9
chr2.10471190.F,2,0,3,0,9,0,2,0,3,3,1,0,0,0,1,1,0,0,5,1,0,0,0,8,0,1,0,4
chr2.10471212.F,0,0,2,0,NA,NA,NA,5,0,NA,0,0,3,0,NA,0,3,0,0,1,0,1,0,2,0,3,0,4
chr2.10471251.R,0,0,6,0,NA,0,NA,3,1,NA,NA,2,0,0,2,0,1,0,9,8,0,4,0,10,0,12,0,6
chr2.10471270.R,0,0,4,0,NA,0,NA,1,3,NA,1,1,0,0,0,0,1,0,1,1,0,3,0,4,0,6,0,3
chr2.10471297.R,3,0,34,0,8,0,5,11,8,NA,7,5,1,2,3,2,9,0,12,9,0,15,1,14,0,20,0,6
chr2.10471302.R,1,1,30,0,8,0,5,9,5,NA,5,4,3,0,3,3,3,0,7,5,0,5,1,14,0,12,0,6
chr2.10471349.F,NA,0,4,0,NA,0,1,3,0,6,2,0,1,0,1,2,0,2,4,4,0,2,0,2,0,3,0,10
chr2.10471350.R,0,0,22,0,2,0,1,5,6,NA,4,1,1,0,6,2,1,0,5,4,0,4,1,9,0,2,0,6
chr2.10471388.F,NA,0,8,0,NA,0,3,4,1,7,5,1,1,2,1,5,3,2,4,7,0,3,0,5,0,8,0,11
chr2.10471392.F,NA,0,9,0,NA,0,3,4,1,7,7,6,1,3,1,7,8,4,5,8,0,5,0,10,0,10,0,11
chr2.10471420.F,NA,0,8,0,NA,0,3,4,1,6,7,1,1,7,1,7,7,3,4,8,0,6,0,8,0,7,0,12
chr2.10471421.R,1,0,10,0,5,0,NA,6,4,2,9,6,0,0,5,3,17,1,2,5,0,6,0,7,0,12,0,14
chr2.10471436.F,NA,0,5,0,NA,0,3,3,1,6,7,1,1,3,1,4,1,3,4,7,0,6,0,6,0,8,0,12
chr2.10471437.R,0,0,10,0,4,0,1,6,2,3,11,4,0,2,0,3,2,1,2,7,1,5,0,9,0,13,0,10
chr2.10471440.F,NA,0,8,0,NA,0,3,4,2,6,7,2,3,8,1,6,14,3,4,8,0,7,0,9,0,11,0,12
chr2.10471441.R,1,1,11,0,5,0,1,7,7,4,12,6,4,1,7,3,16,1,3,8,0,7,0,12,0,19,0,14
chr2.10471461.R,1,0,11,0,6,0,1,7,3,4,12,4,8,4,4,3,13,0,3,8,0,8,0,10,0,14,0,18
chr2.10471470.R,1,0,11,0,6,0,2,8,2,4,12,5,3,3,7,2,12,1,3,9,1,7,0,12,0,18,0,20
chr2.10471475.R,1,0,10,0,5,0,1,10,3,4,12,7,3,1,6,2,14,8,3,8,0,8,0,12,0,21,0,15
chr2.10471492.R,1,0,9,0,6,0,1,10,2,3,9,5,4,1,6,4,10,0,4,6,0,7,0,13,0,18,0,15
chr2.10471509.F,2,0,40,0,15,1,6,11,6,3,19,11,9,9,6,4,15,9,32,11,0,9,1,35,0,29,0,12
chr2.10471510.R,1,0,11,0,7,0,1,6,2,4,10,7,5,1,2,0,7,1,3,7,0,6,0,13,0,11,0,17
chr2.10471518.F,4,0,40,0,20,1,5,13,16,8,18,14,12,11,10,6,19,15,36,11,0,12,1,33,0,39,0,15
chr2.10471534.F,0,0,37,0,15,1,3,8,3,9,16,8,9,7,4,7,13,11,23,4,0,8,1,18,0,9,0,15
chr2.10471577.F,3,0,39,0,16,1,9,12,19,8,20,14,12,16,10,10,35,16,40,11,0,7,1,30,0,19,2,13
chr2.10471578.R,4,0,39,1,15,0,3,19,18,NA,15,51,11,5,10,22,40,2,34,24,0,25,0,38,0,24,0,13
chr2.71134586.F,8,0,9,0,NA,0,4,5,0,NA,2,5,1,4,1,2,0,5,8,4,0,11,0,5,0,5,1,6
chr2.71134595.F,8,0,9,0,NA,0,6,5,4,NA,7,6,9,5,1,2,9,5,14,3,1,11,1,5,0,4,0,3
chr2.71134608.F,8,2,9,0,NA,0,7,8,4,NA,3,5,1,3,2,2,4,5,17,6,0,11,0,9,2,5,0,0
chr2.71134628.F,9,2,7,0,NA,0,6,10,4,NA,3,6,0,2,4,4,4,6,13,8,2,11,0,9,5,7,1,3
chr2.71134630.F,8,2,9,0,NA,0,6,8,3,NA,4,5,1,1,2,3,0,10,14,6,1,10,0,8,1,5,1,6
