,EC adenocarcinoma,EC adenocarcinoma.1,EC adenocarcinoma.2,EC adenocarcinoma.3,EC adenocarcinoma.4,EC adenocarcinoma.5,EC adenocarcinoma.6,EC adenocarcinoma.7,EC adenocarcinoma.8,EC adenocarcinoma.9,EC adenocarcinoma.10,EC adenocarcinoma.11,EC adenocarcinoma.12,EC adenocarcinoma.13,EC adenocarcinoma.14,EC adenocarcinoma.15,EC adenocarcinoma.16,normal buffy coat,normal buffy coat.1,normal buffy coat.2,normal buffy coat.3,normal buffy coat.4,normal buffy coat.5,normal buffy coat.6,normal buffy coat.7,normal buffy coat.8,normal eso,normal eso.1,normal eso.2,normal eso.3,normal eso.4,normal eso.5,normal eso.6,normal eso.7,normal eso.8
chr1.39044145.F,47,31,27,39,58,27,21,12,70,22,18,47,59,26,11,25,22,10,49,27,32,24,25,49,32,15,75,29,45,33,32,19,19,42,23
chr1.39044152.F,47,31,27,39,58,27,21,12,70,22,18,47,59,26,11,24,22,NA,49,27,32,24,25,49,32,15,75,29,45,33,32,19,19,42,22
chr1.39044153.R,52,13,34,28,52,29,14,18,31,20,11,37,31,30,20,35,17,19,33,20,48,11,28,49,39,16,39,27,32,37,23,27,18,29,24
chr1.39044166.F,47,31,27,39,58,27,21,12,70,22,18,47,59,26,11,25,22,10,49,27,32,24,25,49,32,15,75,29,45,33,32,19,19,42,23
chr1.39044167.R,52,13,34,28,52,29,14,18,31,19,11,37,31,30,20,35,17,19,32,19,48,11,28,47,38,16,39,27,32,37,23,27,18,28,23
chr1.39044172.F,47,31,27,39,58,27,21,12,70,22,18,47,59,26,11,25,22,10,49,27,32,24,25,49,32,15,75,29,45,33,32,19,19,42,23
chr1.39044173.R,52,13,34,28,52,29,14,18,31,20,11,37,31,30,20,35,17,19,33,20,48,11,28,49,39,16,39,27,32,37,23,27,18,29,24
chr1.39044192.F,47,30,27,39,58,27,21,12,69,22,18,47,59,26,11,25,22,NA,49,27,32,24,25,49,32,15,74,28,44,33,32,19,19,42,22
chr1.39044193.R,52,13,34,28,52,29,14,19,31,26,11,38,31,34,20,35,17,19,33,20,55,11,28,50,39,16,43,27,33,37,23,27,18,29,24
chr1.39044196.F,47,30,27,39,57,27,21,12,69,21,18,47,59,26,11,25,22,10,49,27,31,24,25,49,32,15,74,28,44,33,32,18,19,42,23
chr1.39044197.R,51,13,34,28,52,29,14,19,31,26,11,38,31,33,20,35,17,19,33,20,54,11,28,49,39,16,44,27,33,37,23,27,18,28,24
chr1.39044212.F,47,29,27,39,57,26,21,12,68,22,18,47,59,26,11,24,22,10,48,27,32,24,25,49,32,15,73,28,44,33,31,19,19,42,22
chr1.39044213.R,52,13,34,28,51,29,14,19,31,26,11,38,31,35,20,35,17,19,33,20,56,11,28,50,39,16,44,27,33,37,23,27,18,29,24
chr1.39044214.F,46,29,27,39,57,25,21,12,68,22,18,47,59,26,11,24,22,10,48,27,32,24,24,49,32,15,73,28,44,33,31,19,19,42,22
chr1.39044215.R,52,13,34,28,52,29,14,19,31,26,11,38,30,35,20,35,17,19,33,20,56,11,28,50,39,16,44,27,33,37,23,27,18,29,24
chr1.39044218.F,46,29,27,39,57,26,21,12,68,22,18,47,59,26,11,24,22,10,48,27,31,24,25,49,32,15,73,28,44,33,31,19,19,42,22
chr1.39044219.R,52,13,34,28,52,29,14,19,31,26,11,38,31,35,20,35,17,19,33,20,57,11,29,51,42,16,44,27,33,37,23,27,18,29,24
chr1.39044221.F,46,29,27,39,57,26,21,12,67,22,18,47,58,26,11,24,22,10,48,27,31,24,25,49,32,14,73,28,44,33,31,19,19,42,22
chr1.39044222.R,52,13,34,28,52,29,14,19,31,26,11,38,31,35,20,35,17,19,33,20,57,11,29,51,42,16,44,27,33,37,23,27,18,29,24
chr1.39044227.F,46,29,27,39,57,26,21,12,68,22,18,47,58,26,11,24,22,10,48,27,31,24,25,49,32,15,73,28,44,33,31,19,19,42,22
chr1.39044228.R,52,13,34,28,52,29,14,19,31,26,11,38,31,35,20,35,17,19,33,20,57,11,29,51,42,16,44,27,33,37,23,27,18,29,24
chr1.39044239.R,52,13,34,28,52,29,14,19,31,26,11,38,31,35,20,35,17,19,33,20,57,11,29,51,42,16,44,27,33,37,23,27,18,29,24
chr1.39980533.R,35,22,17,22,18,23,27,16,45,NA,23,22,32,37,18,24,26,17,35,NA,50,14,14,38,25,25,30,16,NA,27,20,28,NA,25,16
chr1.39980541.R,35,22,17,23,18,23,27,16,45,NA,23,22,32,37,18,24,26,17,35,NA,50,14,14,38,25,25,30,16,NA,27,20,28,NA,25,16
chr1.39980543.R,35,22,17,23,18,23,27,16,45,NA,23,22,32,37,18,24,26,17,35,NA,50,14,14,38,25,25,30,16,NA,27,20,28,NA,25,16
chr1.39980547.R,35,22,17,23,18,23,26,16,45,NA,23,22,32,37,18,24,26,17,35,NA,50,14,14,38,24,25,30,16,NA,27,20,28,NA,25,16
chr1.39980551.R,35,22,17,23,18,23,27,16,42,NA,23,22,31,37,18,24,26,17,34,NA,50,14,14,38,25,24,30,16,NA,26,20,27,NA,25,16
chr1.39980566.R,35,22,17,23,18,23,27,16,45,NA,24,22,32,37,19,24,26,17,35,NA,50,14,16,38,25,26,31,16,NA,27,20,29,NA,25,16
chr1.39980568.R,35,22,17,23,18,24,27,16,45,NA,24,22,32,37,19,24,26,17,35,NA,50,14,16,38,25,26,31,16,NA,27,20,29,NA,25,16
chr1.39980570.R,35,22,17,23,18,24,27,16,45,NA,24,22,32,37,19,24,26,17,35,NA,50,14,16,38,25,26,31,16,NA,27,20,29,NA,25,16
chr1.39980575.R,35,22,17,24,18,24,27,16,45,NA,24,22,32,37,19,24,26,17,35,NA,50,14,16,38,25,26,31,16,NA,27,20,29,NA,25,16
chr1.39980580.R,35,22,17,24,18,24,27,16,45,NA,24,22,32,37,19,24,26,17,35,NA,51,14,16,38,27,26,32,16,NA,27,20,29,NA,25,16
chr1.39980584.R,35,22,17,24,18,24,27,16,45,NA,22,22,32,37,19,24,26,17,35,NA,51,14,16,38,27,26,32,16,NA,27,20,29,NA,25,16
chr1.39980614.R,35,22,17,24,18,24,27,16,45,NA,24,22,32,37,19,24,26,17,36,NA,51,14,16,38,28,26,32,16,NA,27,20,29,NA,25,16
chr1.39980619.R,35,22,17,24,18,24,27,16,45,NA,24,22,32,37,19,24,26,17,36,NA,51,14,16,38,28,26,32,16,NA,27,20,29,NA,25,16
chr1.46913915.F,35,27,36,22,16,24,23,10,37,NA,13,35,28,33,18,22,28,26,19,22,52,26,36,45,24,20,48,20,NA,37,10,30,28,20,19
chr1.46913925.F,35,27,34,22,16,24,23,10,36,NA,13,35,28,32,18,22,28,26,19,22,52,26,36,45,24,20,48,20,NA,37,10,30,28,20,19
chr1.46913931.F,35,27,35,22,16,24,23,10,37,NA,13,35,28,33,18,22,28,26,19,22,52,26,36,45,24,20,48,20,NA,37,10,30,28,20,19
chr1.46913938.F,34,27,35,22,16,24,23,10,37,NA,13,35,28,33,18,22,27,26,19,22,52,26,36,45,24,19,48,20,NA,37,10,30,28,20,19
chr1.46913940.F,34,27,35,22,16,22,23,10,37,NA,13,35,28,33,18,22,27,26,18,22,52,26,36,45,24,20,48,20,NA,37,10,30,28,20,19
chr1.46913946.F,34,27,35,22,16,24,23,10,37,NA,13,35,28,33,18,22,27,26,17,22,52,26,36,45,24,20,47,20,NA,37,10,30,26,20,19
chr1.46913950.F,34,27,35,21,16,24,22,10,37,NA,13,35,28,33,18,22,27,26,16,22,51,26,36,45,24,20,46,20,NA,37,10,30,26,20,19
chr1.46913954.F,34,27,35,21,16,23,22,10,37,NA,13,35,28,33,18,22,27,26,16,22,51,25,36,45,24,20,46,20,NA,37,10,30,26,20,19
chr1.46913962.F,33,26,35,21,15,23,22,10,37,NA,13,35,28,33,18,21,26,19,16,22,51,25,36,44,22,20,46,20,NA,37,10,29,26,20,19
chr1.46913966.F,33,26,35,21,15,23,22,10,35,NA,13,35,28,32,17,21,26,26,16,21,50,25,36,42,22,20,43,20,NA,36,10,29,25,20,18
chr1.46913970.F,33,26,35,21,15,23,22,10,36,NA,13,35,28,33,17,21,26,26,16,22,51,25,36,43,22,20,45,20,NA,37,10,29,25,20,18
chr1.46913972.F,33,26,35,21,15,23,22,10,36,NA,13,35,28,33,17,21,26,26,16,22,51,25,36,43,22,20,45,20,NA,37,10,29,25,20,18
chr1.46913980.F,33,26,35,21,14,23,22,10,36,NA,13,35,28,33,17,21,26,26,16,22,51,25,36,43,22,20,45,20,NA,37,10,29,25,20,18
chr1.46913982.F,33,26,35,21,14,23,22,10,35,NA,13,35,27,33,17,21,24,26,13,22,51,25,36,43,22,20,45,20,NA,37,10,29,25,20,17
chr1.46913987.F,33,26,34,21,14,23,22,10,35,NA,13,35,28,33,17,21,24,26,13,22,51,25,36,43,22,20,45,20,NA,37,10,29,25,20,18
chr1.46913993.F,33,26,34,21,14,22,22,10,35,NA,13,35,28,33,17,21,22,26,13,22,51,25,36,43,22,20,45,20,NA,37,10,29,25,20,18
chr1.46913998.F,33,26,33,21,14,21,22,10,34,NA,13,35,28,33,17,21,21,26,13,21,51,20,31,43,22,20,45,20,NA,37,10,29,25,20,18
chr1.46914005.F,33,26,33,21,14,21,20,10,34,NA,13,35,27,33,17,21,20,26,13,20,49,25,36,43,22,20,43,20,NA,37,NA,29,25,20,18
chr1.46914007.F,33,26,33,21,14,21,20,10,34,NA,13,35,27,33,17,21,20,26,13,19,49,25,36,42,22,20,42,20,NA,37,NA,29,25,20,18
chr1.46914014.F,40,29,41,22,16,27,26,15,45,NA,13,40,38,54,22,25,21,29,19,22,58,31,46,57,23,23,52,28,14,44,14,31,29,28,19
chr1.49242089.F,39,26,48,21,31,29,33,15,79,NA,43,28,41,48,33,32,17,32,13,27,59,10,53,46,51,21,44,30,46,56,23,39,22,32,10
chr1.49242126.F,39,26,48,21,31,29,33,15,79,NA,43,28,41,48,33,32,17,31,13,27,58,10,53,46,51,21,44,30,46,56,23,39,22,32,10
chr1.49242152.F,38,25,47,21,30,28,33,14,78,NA,40,28,39,48,33,31,17,32,13,24,58,10,52,43,47,21,43,30,46,55,23,38,21,30,10
chr1.49242153.R,44,38,51,24,42,39,44,34,60,16,38,34,48,57,40,30,30,35,50,29,88,14,63,66,56,48,78,45,43,36,43,42,29,45,34
chr1.49242193.R,43,39,53,26,43,41,45,38,62,17,44,39,51,60,45,32,30,36,50,29,91,14,66,67,57,49,80,48,45,36,42,43,32,45,35
chr1.49242243.F,40,19,30,14,18,24,22,16,32,NA,12,17,30,33,14,16,14,21,18,21,48,10,35,33,37,NA,42,19,14,29,20,35,NA,18,19
chr1.49242253.F,40,19,30,14,18,24,22,16,32,NA,12,17,30,33,14,16,14,21,18,21,48,10,35,33,37,NA,42,19,14,29,20,36,NA,18,19
chr1.49242263.F,40,19,30,14,18,24,22,16,32,NA,12,17,30,33,14,16,14,21,18,21,48,10,35,33,37,NA,42,19,14,29,20,36,NA,18,19
chr1.49242267.F,40,19,30,14,18,24,22,16,32,NA,12,17,30,33,14,16,14,21,18,21,48,10,35,33,37,NA,42,19,14,29,20,36,NA,18,19
chr1.49242268.R,20,11,28,15,13,11,14,10,76,NA,22,19,50,68,20,21,NA,15,NA,16,79,NA,26,50,53,23,27,27,10,19,32,25,NA,19,13
chr1.49242285.F,39,19,30,14,18,24,22,16,30,NA,12,17,30,32,14,15,13,21,18,21,44,10,34,33,36,NA,41,19,14,28,19,35,NA,17,19
chr1.49242286.R,22,11,28,16,16,13,17,14,93,11,25,20,57,72,23,22,NA,17,15,19,91,13,42,55,58,25,29,28,13,20,35,27,NA,22,15
chr1.49242315.F,38,17,28,13,16,21,21,16,27,NA,11,16,29,31,14,15,13,20,17,20,44,10,34,32,35,NA,36,19,12,28,18,33,NA,13,19
chr1.49242316.R,23,11,28,16,17,17,18,16,101,12,25,21,64,77,24,24,NA,18,16,28,92,13,43,58,60,26,32,28,13,21,35,27,NA,22,17
chr1.49242317.F,38,18,28,13,16,22,21,16,27,NA,11,16,29,31,14,15,13,20,17,19,43,10,34,32,35,NA,36,19,12,28,18,33,NA,13,19
chr1.49242318.R,23,11,28,16,17,17,18,15,100,12,25,21,63,76,24,24,NA,18,16,28,93,13,43,58,59,26,32,28,13,21,35,27,NA,22,17
chr1.49242326.F,35,17,27,13,13,19,19,16,27,NA,NA,16,29,27,14,14,NA,17,10,11,42,NA,29,30,29,NA,33,19,10,26,17,30,NA,13,17
chr1.49242327.R,23,11,28,16,17,17,18,16,101,11,25,21,64,77,24,24,NA,18,16,29,93,13,43,58,60,25,32,28,13,21,35,27,NA,22,18
chr1.49242329.R,23,11,28,16,17,17,17,16,101,12,25,21,64,77,24,24,NA,18,16,29,93,13,43,59,60,26,32,28,13,21,35,27,NA,22,18
chr1.49242336.R,23,11,28,16,17,17,18,16,101,12,25,21,64,77,24,24,NA,18,16,29,93,13,43,59,60,26,32,28,13,21,35,27,NA,22,18
chr1.49242338.R,23,11,28,16,17,17,18,16,101,12,25,21,64,77,24,24,NA,18,16,29,93,13,43,59,60,26,32,28,13,21,35,27,NA,22,18
chr1.49242340.R,23,11,28,16,17,17,18,16,101,12,25,21,64,77,24,24,NA,18,16,29,93,13,43,59,60,26,32,28,13,21,35,27,NA,22,18
chr1.49242351.R,23,11,28,16,17,17,18,16,101,12,25,21,64,77,24,24,NA,18,16,29,93,13,43,59,60,26,32,28,13,21,35,27,NA,22,18
chr1.49242357.R,23,11,28,16,17,17,18,16,101,12,25,21,64,77,24,24,NA,18,16,29,93,13,43,59,60,26,32,28,13,21,35,27,NA,22,17
chr1.49242379.F,25,NA,28,13,NA,25,19,18,56,11,23,34,37,44,20,22,NA,17,21,13,49,10,34,33,44,16,41,27,17,27,24,24,23,17,14
chr1.49242386.F,25,NA,28,13,NA,25,19,18,56,11,23,34,37,44,20,22,NA,17,21,13,49,10,34,33,44,16,41,27,17,27,24,24,23,17,14
chr1.49242389.F,25,NA,28,13,NA,25,19,18,56,11,23,34,37,44,20,22,NA,17,21,13,49,10,34,33,44,16,41,27,17,27,24,24,23,17,14
chr1.49242418.F,23,NA,28,13,NA,25,19,18,56,11,23,34,37,44,20,22,NA,17,20,13,49,10,34,33,44,16,41,27,17,27,24,24,23,17,14
chr1.49242419.R,21,12,32,19,15,20,23,15,73,10,39,43,53,63,21,27,16,20,16,NA,47,12,22,40,45,31,26,28,11,34,15,26,NA,22,10
chr1.49242420.F,23,NA,28,13,NA,24,19,17,56,11,23,34,37,44,20,22,NA,17,20,13,49,10,34,33,44,16,40,27,17,27,24,24,23,17,14
chr1.49242421.R,21,12,32,21,19,20,23,15,74,10,39,44,53,63,21,28,20,20,16,NA,47,12,23,41,45,31,26,28,11,35,19,29,NA,22,13
chr1.49242424.F,23,NA,28,13,NA,24,19,17,56,11,23,34,36,43,20,22,NA,17,17,13,49,10,34,33,44,14,40,27,17,27,24,24,23,17,14
chr1.49242425.R,21,12,32,21,19,20,23,15,74,10,39,44,52,63,21,28,20,20,16,NA,47,12,23,41,45,31,26,28,11,35,20,30,NA,24,13
chr1.49242437.F,21,NA,28,13,NA,24,19,17,56,11,23,34,37,44,19,22,NA,17,17,13,49,10,34,33,44,16,40,27,17,27,24,24,23,17,14
chr1.49242438.R,21,12,32,22,20,20,23,15,74,10,39,42,53,63,23,27,20,20,16,NA,48,12,22,43,46,31,28,28,11,35,20,30,NA,24,13
chr1.49242439.F,21,NA,28,13,NA,23,19,17,56,11,23,34,37,44,19,22,NA,17,17,13,49,10,34,33,44,16,40,27,17,27,24,23,23,17,14
chr1.49242440.R,21,12,32,22,20,20,23,15,74,10,39,44,53,63,23,28,20,20,16,NA,48,12,23,43,46,31,28,28,11,35,20,30,NA,25,13
chr1.49242443.F,21,NA,28,13,NA,23,15,17,56,11,23,34,37,44,19,22,NA,17,17,13,49,10,34,32,44,16,40,27,17,27,24,24,23,17,14
chr1.49242444.R,21,12,32,22,20,20,23,15,74,10,39,44,53,63,23,28,20,20,16,NA,48,12,23,43,46,31,28,28,11,35,20,30,NA,25,13
chr1.49242447.F,21,NA,28,13,NA,23,19,17,56,11,23,34,37,44,19,22,NA,17,17,13,49,10,34,32,44,16,40,27,17,27,24,24,23,17,14
chr1.49242448.R,21,12,32,22,20,20,23,15,74,10,39,44,53,63,23,28,20,20,16,NA,46,12,23,43,46,31,28,28,11,35,20,30,NA,25,13
chr1.49242452.F,21,NA,28,12,NA,23,19,17,54,11,23,34,37,44,19,22,NA,17,17,13,48,10,34,32,44,15,39,27,17,27,24,24,22,17,14
chr1.49242453.R,21,12,32,22,20,20,23,15,75,10,39,44,53,63,23,28,20,20,16,NA,48,12,23,43,46,31,28,28,11,35,20,30,NA,25,13
chr1.49242459.F,20,NA,27,12,NA,21,18,16,52,NA,22,32,35,43,18,22,NA,17,17,12,48,10,34,32,44,15,39,27,16,27,23,24,22,17,14
chr1.49242460.R,21,12,32,22,20,20,23,15,74,10,39,44,53,63,23,28,20,20,16,NA,48,11,23,41,46,31,28,28,11,35,20,30,NA,25,13
chr1.49242461.F,20,NA,27,12,NA,21,18,16,53,NA,22,33,36,43,18,22,NA,17,17,12,48,10,34,32,44,15,39,27,16,27,23,24,22,17,14
chr1.49242462.R,21,12,32,22,20,20,23,15,75,10,39,44,53,63,23,28,20,20,17,NA,48,12,23,43,46,31,28,28,11,35,20,30,NA,25,13
chr1.49242470.F,20,NA,27,12,NA,21,18,16,53,NA,22,33,36,43,18,22,NA,17,17,12,48,10,34,32,44,15,39,27,16,27,23,24,21,17,14
chr1.49242471.R,21,12,32,22,20,20,23,15,75,10,39,44,53,63,23,28,20,20,17,NA,48,12,23,43,46,31,28,28,12,35,20,30,NA,25,13
chr1.49242488.R,21,12,32,22,20,20,23,15,75,10,39,44,53,63,23,28,20,20,17,NA,48,12,23,43,46,31,28,28,12,35,23,30,NA,25,13
chr1.49242498.R,21,12,32,22,20,20,23,15,75,10,39,44,53,63,23,28,20,20,17,NA,48,12,23,43,46,31,28,28,12,35,23,30,NA,25,13
chr1.49242511.R,21,12,32,22,20,20,23,15,75,10,39,44,53,63,23,28,20,20,17,NA,48,12,23,43,46,31,28,28,12,35,23,30,NA,25,13
chr1.49242514.R,21,12,32,22,20,20,23,15,75,10,39,44,53,63,23,28,20,20,17,NA,48,12,23,43,46,31,28,27,12,35,23,30,NA,25,13
chr1.111217654.R,21,14,19,11,10,14,10,NA,22,NA,18,13,31,21,16,21,19,16,NA,NA,36,10,24,28,21,17,18,28,NA,35,18,19,14,19,20
chr1.111217656.R,22,14,19,11,10,14,10,NA,22,NA,18,13,31,21,16,21,20,16,NA,NA,36,10,25,28,21,18,18,28,NA,35,18,19,14,19,23
chr1.111217673.R,23,15,21,11,12,14,10,NA,24,NA,19,14,30,21,18,21,22,17,17,21,37,11,25,28,22,18,24,29,10,37,19,19,14,18,23
chr1.111217680.R,23,15,21,11,12,15,10,NA,24,NA,19,14,31,21,18,21,22,17,16,21,36,11,25,28,22,18,24,29,10,37,19,19,14,19,23
chr1.111217682.R,23,15,22,11,12,15,10,NA,24,NA,19,14,31,21,18,21,23,17,18,21,37,11,25,28,22,18,24,29,10,37,19,19,14,19,23
chr1.111217684.R,23,15,22,11,12,15,10,NA,24,NA,19,14,31,21,18,21,24,17,18,21,37,11,25,28,22,18,24,29,10,37,19,19,14,19,23
chr1.111217688.R,23,15,22,11,12,15,NA,NA,24,NA,19,14,31,21,18,21,24,17,18,21,37,11,25,28,22,18,24,29,10,37,19,18,14,19,23
chr1.111217690.R,23,15,22,11,13,15,10,NA,24,NA,19,14,31,21,18,21,24,17,19,21,37,12,25,28,21,18,24,29,10,37,19,19,14,19,23
chr1.111217692.R,23,15,22,11,13,15,10,NA,24,NA,19,14,31,21,18,21,24,17,19,21,37,12,26,28,22,18,24,29,10,37,19,19,14,19,23
chr1.111217697.R,23,15,22,11,13,14,10,NA,24,NA,19,14,31,21,18,21,23,17,19,21,37,12,26,28,22,18,25,29,10,36,19,19,14,19,23
chr1.111217703.R,23,15,22,11,13,15,10,NA,24,NA,19,14,31,21,18,21,25,17,20,21,37,12,26,28,22,18,25,29,10,37,19,19,14,19,23
chr1.111217713.R,23,15,21,11,13,15,10,NA,24,NA,19,14,31,21,18,21,25,17,20,21,37,12,26,28,22,18,25,29,10,37,19,19,14,19,23
chr1.111217715.F,48,16,43,17,38,19,32,15,63,18,NA,41,44,11,18,37,21,15,28,34,35,NA,18,56,11,12,22,28,27,36,29,29,15,29,31
chr1.111217716.R,56,37,53,22,40,31,32,15,48,12,28,40,64,33,33,52,33,28,26,31,76,14,49,49,34,31,53,51,19,75,31,51,25,35,34
chr1.111217749.F,48,16,43,17,38,19,32,15,63,18,NA,40,44,11,18,37,21,15,28,34,35,NA,18,55,11,12,22,28,27,36,29,29,15,29,31
chr1.111217750.R,38,23,32,12,29,19,23,12,25,NA,11,26,34,12,17,33,NA,12,NA,10,42,NA,24,21,12,14,30,22,NA,38,13,34,11,17,13
chr1.111217758.F,48,16,43,17,38,19,32,15,63,18,NA,40,44,11,18,36,21,15,28,34,35,NA,18,55,11,12,22,28,27,36,29,29,15,29,31
chr1.111217759.R,38,23,32,12,29,19,24,13,25,NA,11,27,34,12,17,33,NA,12,NA,10,43,NA,24,23,12,14,30,23,NA,38,13,35,11,17,13
chr1.111217782.F,48,16,43,17,38,19,32,15,62,18,NA,39,44,10,18,37,21,15,27,34,35,NA,18,55,11,12,22,28,27,36,29,29,15,29,31
chr1.111217783.R,38,23,32,12,29,19,24,13,25,NA,11,29,34,12,17,33,NA,12,NA,10,43,NA,24,23,12,14,30,23,NA,38,13,35,11,17,13
chr1.111217785.F,48,16,43,17,38,19,32,15,61,18,NA,37,44,10,18,37,21,15,26,33,35,NA,18,55,11,12,22,28,27,35,28,29,15,29,30
chr1.111217786.R,38,23,32,12,29,19,24,13,25,NA,11,29,34,12,17,33,NA,12,NA,10,43,NA,24,23,12,14,30,22,NA,38,13,34,11,17,13
chr1.111217790.F,48,16,43,17,38,19,32,15,61,18,NA,39,44,10,18,37,21,15,26,33,35,NA,18,55,11,12,22,28,27,35,28,27,15,29,30
chr1.111217791.R,38,23,32,12,30,16,24,13,25,NA,11,29,34,12,17,33,NA,12,NA,10,43,NA,24,23,12,14,30,23,NA,38,13,35,11,17,12
chr1.111217792.F,48,16,43,17,38,19,32,15,61,18,NA,39,44,10,18,35,20,15,26,33,35,NA,17,55,11,12,22,28,27,35,28,27,15,29,30
chr1.111217793.R,38,23,32,12,30,19,24,13,25,NA,11,29,34,12,17,33,NA,12,NA,10,43,NA,24,23,12,14,30,23,NA,38,13,35,11,17,13
chr1.111217815.F,46,13,39,16,31,18,27,12,55,15,NA,37,44,NA,17,31,13,13,22,28,32,NA,14,52,10,11,23,27,26,33,26,26,15,24,24
chr1.111217816.R,38,23,32,12,30,19,24,13,25,NA,11,29,34,12,17,33,NA,12,NA,10,43,NA,24,23,12,14,30,23,NA,38,13,35,11,17,13
chr1.158150624.F,30,35,35,19,37,30,39,14,35,NA,20,26,44,32,26,30,18,14,20,14,43,11,34,27,22,28,24,38,35,40,20,28,34,28,27
chr1.158150649.F,30,35,35,19,37,29,39,13,34,NA,20,26,44,32,26,29,18,14,20,14,43,11,34,27,22,28,24,37,35,40,20,28,34,28,27
chr1.158150650.R,26,26,39,12,25,22,32,19,29,NA,16,28,25,22,10,18,17,21,20,21,39,NA,42,26,16,11,31,30,NA,38,15,26,23,31,13
chr1.158150652.F,30,35,35,19,36,30,35,14,35,NA,20,26,44,31,26,30,18,14,20,14,43,11,34,27,22,28,23,38,35,40,20,28,34,28,27
chr1.158150653.R,26,26,39,12,25,22,32,19,29,NA,16,28,25,22,10,18,17,21,20,21,39,NA,42,26,16,11,31,30,NA,38,15,26,23,31,13
chr1.158150655.F,30,35,34,19,37,29,39,14,35,NA,20,26,44,32,26,30,18,14,20,14,43,11,34,27,22,28,24,37,35,39,20,28,34,28,27
chr1.158150656.R,26,26,39,12,25,22,32,19,29,NA,16,28,25,22,10,18,17,21,20,21,39,NA,36,26,16,11,31,30,NA,38,15,26,23,31,13
chr1.158150675.F,30,35,35,19,37,30,39,14,35,NA,20,26,44,32,26,30,18,14,20,14,43,11,34,26,21,28,24,38,35,40,20,28,34,28,27
chr1.158150676.R,27,26,39,12,26,22,34,19,31,NA,16,28,27,23,10,18,18,22,20,21,44,NA,49,26,17,11,32,30,NA,39,16,26,23,31,13
chr1.158150691.F,30,35,35,19,34,30,38,14,35,NA,20,26,44,32,26,30,17,14,20,14,43,11,34,27,22,28,23,38,34,40,20,28,34,28,27
chr1.158150692.R,27,27,39,12,26,22,34,19,31,NA,16,29,26,24,10,18,18,15,20,22,44,NA,49,26,17,11,32,30,NA,39,15,26,23,31,13
chr1.158150705.F,29,33,33,19,32,28,35,12,31,NA,17,24,43,29,26,30,17,13,15,14,42,NA,31,26,22,25,20,38,33,39,20,26,34,27,25
