,EC adenocarcinoma,EC adenocarcinoma.1,EC adenocarcinoma.2,EC adenocarcinoma.3,EC adenocarcinoma.4,EC adenocarcinoma.5,EC adenocarcinoma.6,EC adenocarcinoma.7,EC adenocarcinoma.8,EC adenocarcinoma.9,EC adenocarcinoma.10,EC adenocarcinoma.11,EC adenocarcinoma.12,EC adenocarcinoma.13,EC adenocarcinoma.14,EC adenocarcinoma.15,EC adenocarcinoma.16,normal buffy coat,normal buffy coat.1,normal buffy coat.2,normal buffy coat.3,normal buffy coat.4,normal buffy coat.5,normal buffy coat.6,normal buffy coat.7,normal buffy coat.8,normal eso,normal eso.1,normal eso.2,normal eso.3,normal eso.4,normal eso.5,normal eso.6,normal eso.7,normal eso.8
chr1.39980566.R,29,15,1,19,6,0,0,0,0,NA,0,0,0,1,0,0,9,1,16,NA,0,6,0,0,1,1,13,0,NA,1,9,0,NA,0,7
chr1.39980568.R,31,14,0,19,7,0,0,1,1,NA,0,1,0,0,0,0,11,0,16,NA,0,7,0,0,0,0,20,0,NA,1,12,0,NA,0,7
chr1.39980570.R,29,14,1,18,6,0,0,1,0,NA,0,0,0,0,0,0,8,0,16,NA,2,7,0,0,0,0,19,0,NA,0,10,0,NA,0,8
chr1.39980575.R,27,14,1,20,8,0,0,1,0,NA,0,0,0,0,0,0,9,0,10,NA,0,5,0,0,0,0,13,0,NA,0,8,0,NA,0,5
chr1.39980580.R,31,14,1,20,8,0,1,0,0,NA,0,0,0,0,0,0,8,0,14,NA,0,7,0,0,0,0,23,0,NA,0,12,0,NA,0,6
chr1.39980584.R,21,14,1,20,6,0,0,0,1,NA,0,0,0,0,0,0,9,1,8,NA,0,7,0,0,0,0,15,0,NA,0,10,0,NA,0,5
chr1.39980614.R,15,10,1,20,6,0,0,0,0,NA,0,0,0,0,0,0,9,0,17,NA,0,7,0,0,4,0,16,0,NA,1,7,0,NA,0,7
chr1.39980619.R,2,13,1,13,6,0,0,0,0,NA,0,0,0,0,0,0,5,0,16,NA,0,6,0,1,0,0,18,0,NA,0,5,0,NA,0,5
chr1.46913915.F,5,16,1,3,2,0,0,0,0,NA,0,0,0,0,0,0,9,0,8,14,0,1,0,0,0,0,30,0,NA,0,1,1,13,0,4
chr1.46913925.F,8,20,4,4,5,0,0,0,0,NA,0,1,0,0,0,2,13,0,18,12,0,11,3,3,0,1,34,0,NA,1,3,1,19,1,7
chr1.46913931.F,1,7,1,1,0,0,0,0,0,NA,0,1,0,0,0,1,8,0,10,9,0,2,0,0,0,0,29,0,NA,0,1,0,14,0,4
chr1.46913938.F,2,16,4,3,1,0,0,0,0,NA,0,3,0,0,0,1,11,0,15,11,0,8,0,0,0,1,39,0,NA,0,0,0,17,0,7
chr1.46913940.F,2,13,3,4,2,0,0,0,0,NA,0,3,0,0,0,1,12,0,17,13,0,4,0,0,0,0,44,0,NA,2,1,0,19,1,6
chr1.46913946.F,3,15,2,3,1,0,0,0,0,NA,0,4,2,0,1,1,12,0,8,11,0,2,0,2,0,0,35,0,NA,1,0,0,14,0,7
chr1.46913950.F,7,19,6,7,3,0,1,0,0,NA,0,4,2,0,0,1,13,1,14,12,0,7,0,0,0,0,39,0,NA,0,2,1,19,0,7
chr1.46913954.F,2,16,3,4,1,0,1,0,0,NA,0,4,0,0,0,0,12,0,10,10,0,4,0,0,0,0,38,0,NA,2,1,0,17,0,6
chr1.46913962.F,1,6,0,2,1,0,1,0,0,NA,0,0,0,0,0,0,10,0,12,12,0,2,0,0,0,0,22,0,NA,0,1,0,19,0,6
chr1.46913966.F,0,9,0,0,0,0,1,0,0,NA,0,4,0,1,0,0,10,0,3,12,0,3,0,0,0,0,22,0,NA,0,0,0,14,0,3
chr1.46913970.F,3,11,3,3,0,0,1,0,0,NA,0,4,0,0,1,0,12,0,14,12,0,6,0,0,0,0,37,0,NA,0,2,0,15,0,5
chr1.46913972.F,2,13,1,2,1,0,1,0,0,NA,0,3,2,0,1,0,10,1,13,12,0,10,0,0,0,0,41,0,NA,0,2,0,17,0,5
chr1.46913980.F,2,14,3,2,1,0,1,0,0,NA,0,1,0,0,0,1,11,0,11,13,0,11,0,0,0,0,33,0,NA,0,2,0,16,0,5
chr1.46913982.F,3,16,3,6,1,1,0,0,0,NA,0,1,0,0,0,0,9,0,11,12,0,13,0,0,0,0,33,0,NA,0,2,0,18,0,6
chr1.46913987.F,5,17,6,7,2,0,0,0,0,NA,0,1,0,0,0,0,10,1,12,14,0,12,0,0,0,0,25,0,NA,0,2,1,18,1,6
chr1.46913993.F,3,17,3,5,1,0,1,0,1,NA,0,0,2,0,1,0,8,2,8,12,1,12,0,0,0,0,36,1,NA,0,1,0,17,0,4
chr1.46913998.F,1,18,6,9,2,0,1,0,0,NA,0,2,0,3,0,0,6,0,11,14,0,6,0,0,0,0,24,0,NA,0,1,1,16,0,5
chr1.46914005.F,2,15,2,7,0,0,0,0,0,NA,0,1,0,0,1,0,5,0,12,12,0,7,0,0,0,0,37,0,NA,2,NA,1,16,0,4
chr1.46914007.F,3,6,1,5,0,0,0,0,0,NA,0,0,0,0,0,0,6,1,9,9,0,3,0,2,0,0,30,0,NA,0,NA,0,15,0,4
chr1.46914014.F,2,2,0,1,1,0,0,0,0,NA,0,0,0,0,0,0,1,0,4,2,0,0,0,0,0,0,4,0,0,1,1,0,2,0,0
chr1.49242089.F,22,15,13,9,1,0,1,0,4,NA,2,2,3,0,0,3,4,2,10,22,1,2,9,5,3,0,39,1,6,0,2,1,11,1,4
chr1.49242126.F,1,9,10,7,2,0,0,0,0,NA,0,0,0,0,0,0,3,0,7,22,0,1,3,2,0,0,15,0,6,0,0,0,4,1,0
chr1.49242152.F,2,10,5,6,0,0,0,1,0,NA,0,2,0,0,0,0,3,1,8,16,0,0,0,0,0,0,16,0,2,0,0,0,4,0,0
chr1.49242153.R,4,10,6,1,0,1,0,1,0,0,0,0,0,0,0,0,11,2,34,23,0,4,3,7,3,0,18,0,1,0,0,0,4,0,2
chr1.49242193.R,4,10,2,7,4,0,0,0,0,3,0,1,0,1,0,0,11,0,30,17,0,4,0,7,1,1,26,2,5,0,7,1,10,1,4
chr1.49242243.F,0,2,0,5,0,0,1,0,0,NA,0,0,0,0,0,0,9,0,1,14,0,2,0,0,0,NA,7,0,7,0,0,0,NA,0,0
chr1.49242253.F,4,10,1,8,0,1,2,0,0,NA,0,0,0,0,0,0,10,0,12,16,0,5,0,0,0,NA,21,0,9,1,0,1,NA,0,5
chr1.49242263.F,8,11,3,9,0,0,1,0,0,NA,1,0,0,0,0,0,10,0,14,17,0,7,0,0,0,NA,22,0,9,0,1,0,NA,0,5
chr1.49242267.F,12,10,5,8,3,1,1,0,0,NA,0,0,0,0,0,0,10,0,10,14,0,7,0,0,0,NA,18,0,3,0,0,1,NA,2,4
chr1.49242268.R,3,4,5,7,2,0,0,0,0,NA,1,0,1,0,0,1,NA,0,NA,10,0,NA,0,0,0,0,15,0,4,0,1,0,NA,0,4
chr1.49242285.F,10,13,0,9,4,1,0,0,0,NA,0,0,0,0,0,0,9,0,15,16,0,7,0,0,0,NA,21,0,9,0,0,0,NA,0,3
chr1.49242286.R,6,6,1,8,4,0,0,0,0,0,0,0,0,0,0,2,NA,0,7,13,0,2,0,0,0,0,17,0,2,0,0,0,NA,0,5
chr1.49242315.F,19,12,0,9,7,1,0,0,0,NA,0,0,0,1,0,0,9,0,14,15,0,7,1,1,0,NA,18,0,7,0,0,0,NA,0,5
chr1.49242316.R,10,4,0,8,5,0,0,0,2,1,0,0,0,0,0,0,NA,0,8,21,0,2,2,1,0,0,20,0,7,0,1,0,NA,0,7
chr1.49242317.F,18,9,0,9,8,1,1,0,0,NA,0,0,1,1,0,1,9,0,14,12,0,7,0,0,0,NA,19,1,7,0,0,0,NA,0,6
chr1.49242318.R,12,6,0,7,4,1,0,0,0,0,0,0,0,0,0,0,NA,0,8,21,1,2,2,1,0,0,20,1,4,0,1,0,NA,0,7
chr1.49242326.F,6,12,0,9,1,0,0,1,0,NA,NA,0,0,0,0,0,NA,0,5,6,0,NA,0,0,0,NA,17,0,6,0,0,0,NA,0,3
chr1.49242327.R,8,6,0,8,2,1,1,1,0,0,0,0,1,0,0,1,NA,0,8,22,1,2,4,1,0,0,20,0,7,0,0,0,NA,0,6
chr1.49242329.R,7,6,0,7,3,2,0,0,0,0,0,0,1,4,0,1,NA,0,6,21,0,2,3,1,0,0,14,0,7,0,0,0,NA,0,6
chr1.49242336.R,4,6,0,8,2,0,0,0,0,0,0,0,0,0,0,0,NA,0,7,22,0,2,0,0,0,0,15,0,7,0,0,0,NA,0,4
chr1.49242338.R,7,5,0,8,2,0,0,0,0,0,0,0,0,0,0,0,NA,0,7,22,0,2,0,1,0,1,16,0,7,0,0,0,NA,0,5
chr1.49242340.R,9,6,0,8,4,0,1,0,0,0,0,1,0,0,0,0,NA,0,8,22,0,2,0,1,0,0,13,0,7,0,1,1,NA,0,8
chr1.49242351.R,11,6,0,7,5,0,0,0,2,0,0,0,0,0,0,1,NA,0,8,22,0,2,0,1,0,0,17,0,7,0,4,1,NA,0,8
chr1.49242357.R,16,7,0,8,3,0,0,0,2,0,0,0,0,0,0,0,NA,0,8,22,0,2,0,1,0,0,18,0,7,0,2,1,NA,0,6
chr1.49242379.F,17,NA,0,5,NA,0,0,1,0,0,0,0,0,0,0,0,NA,0,16,7,0,1,0,0,0,0,10,0,1,0,1,0,0,1,4
chr1.49242386.F,18,NA,0,6,NA,0,0,0,0,0,0,0,0,0,0,2,NA,0,15,8,0,1,0,0,0,0,10,0,1,0,0,0,0,0,4
chr1.49242389.F,15,NA,0,6,NA,1,0,0,0,1,0,0,0,0,0,0,NA,0,16,8,0,1,0,3,0,0,8,0,1,0,0,0,0,0,4
chr1.49242418.F,10,NA,0,6,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,15,8,0,1,0,0,0,0,10,0,1,1,0,0,0,0,4
chr1.49242419.R,8,9,0,6,3,0,0,0,0,0,0,0,0,0,0,0,5,0,15,NA,0,2,0,0,0,0,8,0,1,0,1,0,NA,0,3
chr1.49242420.F,8,NA,0,3,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,15,8,0,1,2,0,0,0,8,0,1,0,0,0,0,0,3
chr1.49242421.R,7,9,0,6,2,0,0,0,0,0,0,0,0,0,0,0,9,0,16,NA,0,2,0,0,0,0,7,0,1,0,1,0,NA,0,4
chr1.49242424.F,14,NA,0,4,NA,1,0,0,0,0,0,0,0,0,0,3,NA,0,12,8,0,1,0,2,0,0,9,1,1,0,1,0,0,0,4
chr1.49242425.R,7,9,1,8,5,0,0,0,0,0,1,0,0,0,0,0,8,0,16,NA,0,2,0,0,0,0,8,0,1,0,1,1,NA,0,7
chr1.49242437.F,11,NA,0,6,NA,1,0,0,1,2,0,0,0,0,0,0,NA,0,12,8,0,1,0,0,3,0,9,0,1,1,0,0,0,0,4
chr1.49242438.R,13,9,0,9,5,0,0,0,0,0,0,0,0,0,0,0,8,0,15,NA,0,2,0,0,0,0,8,0,1,0,3,0,NA,0,7
chr1.49242439.F,10,NA,1,5,NA,1,0,0,0,0,0,0,0,0,0,0,NA,0,12,8,0,1,0,0,0,0,8,0,1,0,0,0,0,0,3
chr1.49242440.R,11,9,1,9,2,0,0,0,0,0,0,0,0,0,0,0,8,0,15,NA,0,2,0,0,0,0,9,0,1,0,3,1,NA,0,7
chr1.49242443.F,14,NA,1,6,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,12,8,0,1,0,0,0,0,9,0,1,1,0,0,0,0,4
chr1.49242444.R,14,9,0,9,5,0,0,0,0,0,1,1,0,0,0,0,9,0,16,NA,0,2,0,0,0,0,9,0,1,2,3,1,NA,0,7
chr1.49242447.F,8,NA,0,6,NA,1,0,0,0,0,0,0,0,6,0,0,NA,0,10,7,0,1,0,0,0,0,9,0,1,1,0,0,0,0,4
chr1.49242448.R,10,8,0,9,4,1,0,0,0,0,0,0,0,0,0,0,7,0,16,NA,0,1,0,0,0,0,9,0,1,2,2,0,NA,0,7
chr1.49242452.F,13,NA,0,5,NA,1,0,0,0,0,0,0,0,0,0,0,NA,0,12,8,0,1,0,0,0,0,9,1,1,0,1,1,0,0,4
chr1.49242453.R,11,7,1,10,3,0,0,0,0,0,0,0,0,0,0,0,9,0,14,NA,0,2,0,0,0,0,9,0,1,0,0,0,NA,0,7
chr1.49242459.F,15,NA,0,5,NA,0,0,0,0,NA,0,0,0,0,0,0,NA,0,12,7,0,1,0,0,0,0,8,1,1,0,0,0,0,0,4
chr1.49242460.R,14,9,0,9,6,0,0,0,0,0,0,0,0,0,0,0,8,0,16,NA,0,2,4,0,0,0,9,0,1,0,1,1,NA,0,7
chr1.49242461.F,15,NA,0,5,NA,1,0,0,0,NA,0,0,0,0,0,0,NA,0,12,7,0,1,0,0,0,0,9,1,1,0,0,1,0,0,4
chr1.49242462.R,14,9,0,9,6,0,0,0,0,0,0,0,0,0,0,0,9,0,17,NA,0,2,0,0,5,0,9,0,1,0,1,0,NA,0,7
chr1.49242470.F,10,NA,0,5,NA,1,0,0,0,NA,0,0,1,0,0,0,NA,0,12,7,0,1,0,0,0,0,10,0,1,0,0,0,0,0,4
chr1.49242471.R,12,8,0,9,4,0,0,0,0,0,0,0,0,0,0,0,9,0,17,NA,0,2,0,0,3,0,9,0,2,0,0,0,NA,0,6
chr1.49242488.R,12,9,0,9,6,0,0,0,0,0,0,1,0,0,0,0,9,0,16,NA,0,2,2,0,0,0,10,0,3,0,2,1,NA,0,7
chr1.49242498.R,14,9,0,9,7,0,0,0,0,0,0,1,3,0,0,0,9,0,17,NA,0,2,0,0,0,0,9,0,2,0,0,1,NA,0,7
chr1.49242511.R,2,9,0,9,2,0,1,0,0,0,0,1,0,0,0,0,8,0,17,NA,0,2,0,1,0,0,7,0,2,1,0,0,NA,0,7
chr1.49242514.R,9,9,0,9,5,0,0,0,0,0,0,0,0,0,0,0,8,0,17,NA,0,1,0,0,0,0,9,0,2,0,0,1,NA,0,6
chr1.111217654.R,10,10,4,4,2,0,0,NA,0,NA,0,0,1,0,1,0,1,0,NA,NA,1,0,1,0,4,0,13,0,NA,0,1,0,1,0,7
chr1.111217656.R,12,10,4,4,3,0,0,NA,1,NA,0,0,0,1,1,0,2,0,NA,NA,1,1,0,2,2,0,13,0,NA,0,1,0,1,0,11
chr1.111217673.R,9,11,4,4,3,0,0,NA,0,NA,0,0,0,0,0,0,4,1,12,18,0,2,0,0,2,1,19,0,1,0,2,0,0,0,10
chr1.111217680.R,13,10,4,4,4,0,0,NA,2,NA,2,0,0,0,3,0,4,1,11,18,1,2,0,0,2,2,19,0,1,0,2,1,0,0,10
chr1.111217682.R,12,11,5,4,3,0,0,NA,0,NA,0,0,0,0,1,0,5,1,13,18,0,2,0,0,2,1,19,1,1,1,2,0,0,0,10
chr1.111217684.R,13,11,5,4,4,0,0,NA,0,NA,0,0,0,0,1,1,6,1,13,14,0,2,1,0,2,0,18,0,1,0,2,0,0,0,10
chr1.111217688.R,13,11,5,4,3,0,NA,NA,0,NA,0,0,0,0,0,0,6,1,13,18,1,2,0,0,0,0,19,1,1,0,2,0,0,0,10
chr1.111217690.R,13,11,5,4,6,0,0,NA,0,NA,0,0,0,0,2,0,6,1,14,18,1,3,1,0,2,1,19,0,1,0,1,0,0,0,10
chr1.111217692.R,12,11,5,4,6,0,0,NA,1,NA,0,0,0,0,2,0,6,1,14,18,2,3,0,0,4,0,19,0,1,0,2,0,0,0,10
chr1.111217697.R,13,11,5,5,5,0,1,NA,1,NA,0,0,0,0,1,0,6,1,14,18,1,3,0,0,2,1,20,0,1,0,2,0,0,0,10
chr1.111217703.R,13,11,5,5,3,0,0,NA,1,NA,0,0,0,0,0,0,9,1,15,18,0,3,0,0,2,0,20,0,1,0,2,0,0,0,10
chr1.111217713.R,12,11,5,4,4,0,0,NA,3,NA,0,0,0,2,1,0,7,1,15,18,1,3,0,0,0,1,21,0,1,0,2,0,0,1,9
chr1.111217715.F,41,10,9,12,16,1,0,0,0,0,NA,0,0,0,1,2,15,2,25,31,4,NA,0,2,0,1,17,0,3,0,11,0,0,0,15
chr1.111217716.R,14,11,4,4,4,0,0,0,1,0,1,0,1,0,0,0,7,1,15,15,2,3,0,0,0,0,21,0,1,0,3,0,0,0,10
chr1.111217749.F,36,8,7,11,15,0,0,0,1,3,NA,0,0,0,1,2,15,2,25,32,1,NA,0,1,0,0,15,0,1,0,12,0,2,0,13
chr1.111217750.R,24,15,7,6,13,0,0,0,0,NA,0,1,0,0,2,4,NA,2,NA,8,0,NA,0,0,1,1,26,0,NA,0,4,1,2,0,6
chr1.111217758.F,41,10,8,12,14,0,0,1,10,0,NA,2,0,0,2,4,17,2,25,32,5,NA,0,3,2,2,17,0,3,2,12,0,6,0,17
chr1.111217759.R,27,16,10,7,12,0,0,0,0,NA,0,1,0,0,3,3,NA,4,NA,8,2,NA,0,0,0,1,26,0,NA,0,3,2,5,0,6
chr1.111217782.F,42,10,8,12,13,0,0,0,1,3,NA,0,0,0,0,0,14,2,22,34,5,NA,0,5,2,2,15,0,3,0,12,0,4,0,15
chr1.111217783.R,27,15,8,7,11,0,1,0,2,NA,0,0,0,0,2,0,NA,2,NA,8,2,NA,0,0,0,0,28,0,NA,0,3,1,4,0,6
chr1.111217785.F,41,9,6,11,12,0,0,0,0,0,NA,0,0,0,1,1,15,2,21,27,1,NA,0,1,0,2,16,0,3,0,11,0,4,0,17
chr1.111217786.R,27,14,6,7,10,0,1,0,3,NA,1,1,0,1,2,0,NA,2,NA,8,1,NA,0,0,0,0,28,0,NA,0,3,1,4,0,6
chr1.111217790.F,42,10,5,12,14,0,0,0,0,3,NA,0,1,0,0,0,14,1,23,30,0,NA,0,5,0,1,15,0,2,0,10,0,1,0,14
chr1.111217791.R,25,15,6,7,11,0,0,0,0,NA,0,1,0,0,2,0,NA,2,NA,8,0,NA,0,0,0,0,28,0,NA,0,3,1,1,0,6
chr1.111217792.F,34,9,6,10,13,0,0,0,0,3,NA,0,0,0,0,0,14,0,18,31,1,NA,0,1,0,1,17,0,3,0,11,0,0,0,13
chr1.111217793.R,24,15,4,7,8,0,0,0,0,NA,1,0,0,0,2,1,NA,1,NA,6,0,NA,0,0,0,0,27,0,NA,1,3,1,1,0,6
chr1.111217815.F,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,1,0,0,0,0,0,0,0,3
chr1.111217816.R,10,14,5,7,10,0,0,0,0,NA,0,1,0,0,0,0,NA,1,NA,8,0,NA,0,0,0,1,27,0,NA,0,3,1,2,0,2
chr1.158150624.F,12,19,1,8,0,0,0,0,0,NA,0,0,0,2,0,0,6,1,19,13,0,9,0,2,0,0,16,0,1,0,1,0,0,0,5
chr1.158150649.F,17,29,6,8,4,2,0,0,1,NA,0,0,0,3,0,0,8,4,15,13,0,11,4,3,0,0,17,0,1,1,5,0,0,0,9
chr1.158150650.R,17,19,10,8,4,1,0,0,1,NA,1,2,0,2,0,0,14,2,14,18,0,NA,1,2,0,0,24,0,NA,0,2,0,0,0,6
chr1.158150652.F,14,28,6,8,4,0,1,0,2,NA,0,2,0,3,0,0,8,5,19,12,2,11,1,2,0,0,16,0,1,0,3,0,0,0,13
chr1.158150653.R,14,19,9,8,1,0,0,0,0,NA,1,0,4,0,0,0,11,3,15,18,2,NA,2,3,0,1,22,0,NA,0,2,0,0,1,7
chr1.158150655.F,5,19,5,8,3,0,0,2,3,NA,0,1,0,3,0,2,8,1,13,13,4,10,4,2,0,0,15,0,1,0,0,0,0,0,11
chr1.158150656.R,4,15,4,8,4,0,0,0,2,NA,0,2,4,2,0,0,13,2,12,18,6,NA,2,2,0,0,20,0,NA,0,1,0,0,0,3
chr1.158150675.F,10,19,3,6,0,0,0,0,0,NA,0,0,0,0,0,0,9,0,11,13,1,9,0,0,3,0,18,0,1,0,2,0,0,0,11
chr1.158150676.R,10,14,0,4,2,0,0,0,1,NA,0,0,4,0,0,0,14,0,11,19,0,NA,0,1,0,0,18,0,NA,0,2,0,0,0,4
chr1.158150691.F,11,25,1,8,7,0,0,0,1,NA,0,0,0,2,0,0,8,2,14,13,0,11,0,0,0,0,16,0,1,0,2,0,0,0,11
chr1.158150692.R,14,16,1,8,4,0,0,0,0,NA,0,0,4,0,0,0,14,3,15,19,0,NA,0,0,0,0,22,0,NA,0,2,0,0,0,3
chr1.158150705.F,19,24,4,8,2,0,0,0,1,NA,0,1,0,2,0,0,8,3,13,13,0,NA,0,0,0,0,13,0,0,0,6,0,0,0,9
